anio,tabla,variable,tipo_documentado,etiqueta_variable,rango,definicion,catalogo_referencia,fuente
2018,concentradohogar,acces_pers,"N (12,2)",Accesorios personales,,"Gasto en accesorios y efectos personales. H123 a H131, H133.",,doc_2018.pdf p.176
2018,concentradohogar,aceites,"N (12,2)",Aceites y grasas,en A095 a A100 más la suma de,Gasto en aceites y grasas. A095 a A100. .9102 nóicpircseD .8102 y,,doc_2018.pdf p.171
2018,concentradohogar,adqui_vehi,"N (12,2)",Adquisición de vehículos,en M007 a M011 más la suma de,M007 a M011. particular.,,doc_2018.pdf p.175
2018,concentradohogar,agricolas,"N (12,2)",Negocios agrícolas,Suma de ingresos.ing_tri cuando la clave está en,Ingresos de negocios agrícolas.,,doc_2018.pdf p.168
2018,concentradohogar,agrope,"N (12,2)",Negocios agropecuarios,,Ingresos de negocios agropecuarios.,,doc_2018.pdf p.168
2018,concentradohogar,agua,"N (12,2)",Agua,Suma de gastoshogar.gasto_tri cuando la clave está,Gasto en agua.,,doc_2018.pdf p.173
2018,concentradohogar,aguinaldo,"N (12,2)",Aguinaldo y reparto de utilidades,Suma de ingresos.ing_tri cuando la clave sea igual a,utilidades.,,doc_2018.pdf p.167
2018,concentradohogar,ali_dentro,"N (12,2)",Alimentos dentro del hogar,,dentro del hogar.,,doc_2018.pdf p.171
2018,concentradohogar,ali_fuera,"N (12,2)",Alimentos fuera del hogar,en A243 a A247 más la suma de,A243 a A247. del hogar.,,doc_2018.pdf p.172
2018,concentradohogar,alimentos,"N (12,2)",Alimentos,,"que realizan día a día los integrantes del hogar en alimentos, bebidas y tabaco.",,doc_2018.pdf p.171
2018,concentradohogar,alquiler,"N (12,2)",Alquileres brutos,"en G001 a G004, G101 más la suma de",Gasto en alquileres brutos. G001 a G004,,doc_2018.pdf p.173
2018,concentradohogar,arrenda,"N (12,2)",Arrendamiento,,financieros.,,doc_2018.pdf p.169
2018,concentradohogar,atenc_ambu,"N (12,2)",Atención primaria o ambulatoria,en J016 a J043 más la suma de,Gasto en atención primaria o ambulatoria. J016 a J043.,,doc_2018.pdf p.174
2018,concentradohogar,azucar,"N (12,2)",Azúcar y mieles,en A173 a A175 más la suma de,Gasto en azúcar y mieles. A173 a A175.,,doc_2018.pdf p.172
