tabla,variable,tipo_conceptual,decodificada,estable_4_anios,observacion
concentradohogar,anio,fecha,No,sin mapping,
concentradohogar,folioviv,identificador,No,no disponible en todos los años,
concentradohogar,foliohog,identificador,No,no disponible en todos los años,
concentradohogar,ubica_geo,llave geográfica,No,no disponible en todos los años,
concentradohogar,tam_loc,categórica ordinal,Sí,estable,Decodificada con mapping oficial por año.
concentradohogar,est_socio,categórica ordinal,Sí,categorías diferentes,Decodificada con mapping oficial por año.
concentradohogar,est_dis,llave de diseño,No,no disponible en todos los años,
concentradohogar,upm,llave de diseño,No,no disponible en todos los años,
concentradohogar,factor,numérica discreta,No,no disponible en todos los años,
concentradohogar,clase_hog,categórica nominal,Sí,categorías diferentes,Decodificada con mapping oficial por año.
concentradohogar,sexo_jefe,categórica nominal,Sí,estable,Decodificada con mapping oficial por año.
concentradohogar,edad_jefe,numérica discreta,No,no disponible en todos los años,
concentradohogar,educa_jefe,categórica nominal,Sí,estable,Decodificada con mapping oficial por año.
concentradohogar,tot_integ,numérica discreta,No,no disponible en todos los años,
concentradohogar,hombres,numérica discreta,No,no disponible en todos los años,
concentradohogar,mujeres,numérica discreta,No,no disponible en todos los años,
concentradohogar,mayores,numérica discreta,No,no disponible en todos los años,
concentradohogar,menores,numérica discreta,No,no disponible en todos los años,
concentradohogar,p12_64,numérica discreta,No,no disponible en todos los años,
concentradohogar,p65mas,numérica discreta,No,no disponible en todos los años,
concentradohogar,ocupados,numérica discreta,No,no disponible en todos los años,
concentradohogar,percep_ing,numérica discreta,No,no disponible en todos los años,
concentradohogar,perc_ocupa,numérica discreta,No,no disponible en todos los años,
concentradohogar,ing_cor,numérica continua,No,no disponible en todos los años,
concentradohogar,ingtrab,numérica continua,No,no disponible en todos los años,
concentradohogar,trabajo,numérica continua,No,no disponible en todos los años,
concentradohogar,sueldos,numérica continua,No,no disponible en todos los años,
concentradohogar,horas_extr,numérica continua,No,no disponible en todos los años,
concentradohogar,comisiones,numérica continua,No,no disponible en todos los años,
concentradohogar,aguinaldo,numérica continua,No,no disponible en todos los años,
concentradohogar,indemtrab,numérica continua,No,no disponible en todos los años,
concentradohogar,otra_rem,numérica continua,No,no disponible en todos los años,
concentradohogar,remu_espec,numérica continua,No,no disponible en todos los años,
concentradohogar,negocio,numérica continua,No,no disponible en todos los años,
concentradohogar,noagrop,numérica continua,No,no disponible en todos los años,
concentradohogar,industria,numérica continua,No,no disponible en todos los años,
concentradohogar,comercio,numérica continua,No,no disponible en todos los años,
concentradohogar,servicios,numérica continua,No,no disponible en todos los años,
concentradohogar,agrope,numérica continua,No,no disponible en todos los años,
concentradohogar,agricolas,numérica continua,No,no disponible en todos los años,
concentradohogar,pecuarios,numérica continua,No,no disponible en todos los años,
concentradohogar,reproducc,numérica continua,No,no disponible en todos los años,
concentradohogar,pesca,numérica continua,No,no disponible en todos los años,
concentradohogar,otros_trab,numérica continua,No,no disponible en todos los años,
concentradohogar,rentas,numérica continua,No,no disponible en todos los años,
concentradohogar,utilidad,numérica continua,No,no disponible en todos los años,
concentradohogar,arrenda,numérica continua,No,no disponible en todos los años,
concentradohogar,transfer,numérica continua,No,no disponible en todos los años,
concentradohogar,jubilacion,numérica continua,No,no disponible en todos los años,
concentradohogar,becas,numérica continua,No,no disponible en todos los años,
concentradohogar,donativos,numérica continua,No,no disponible en todos los años,
concentradohogar,remesas,numérica continua,No,no disponible en todos los años,
concentradohogar,bene_gob,numérica continua,No,no disponible en todos los años,
concentradohogar,transf_hog,numérica continua,No,no disponible en todos los años,
concentradohogar,trans_inst,numérica continua,No,no disponible en todos los años,
concentradohogar,estim_alqu,numérica continua,No,no disponible en todos los años,
concentradohogar,otros_ing,numérica continua,No,no disponible en todos los años,
concentradohogar,gasto_mon,numérica continua,No,no disponible en todos los años,
concentradohogar,alimentos,numérica continua,No,no disponible en todos los años,
concentradohogar,ali_dentro,numérica continua,No,no disponible en todos los años,
concentradohogar,cereales,numérica continua,No,no disponible en todos los años,
concentradohogar,carnes,numérica continua,No,no disponible en todos los años,
concentradohogar,pescado,numérica continua,No,no disponible en todos los años,
concentradohogar,leche,numérica continua,No,no disponible en todos los años,
concentradohogar,huevo,numérica continua,No,no disponible en todos los años,
concentradohogar,aceites,numérica continua,No,no disponible en todos los años,
concentradohogar,tuberculo,numérica continua,No,no disponible en todos los años,
concentradohogar,verduras,numérica continua,No,no disponible en todos los años,
concentradohogar,frutas,numérica continua,No,no disponible en todos los años,
concentradohogar,azucar,numérica continua,No,no disponible en todos los años,
concentradohogar,cafe,numérica continua,No,no disponible en todos los años,
concentradohogar,especias,numérica continua,No,no disponible en todos los años,
concentradohogar,otros_alim,numérica continua,No,no disponible en todos los años,
concentradohogar,bebidas,numérica continua,No,no disponible en todos los años,
concentradohogar,ali_fuera,numérica continua,No,no disponible en todos los años,
concentradohogar,tabaco,numérica continua,No,no disponible en todos los años,
concentradohogar,vesti_calz,numérica continua,No,no disponible en todos los años,
concentradohogar,vestido,numérica continua,No,no disponible en todos los años,
concentradohogar,calzado,numérica continua,No,no disponible en todos los años,
concentradohogar,vivienda,numérica continua,No,no disponible en todos los años,
concentradohogar,alquiler,numérica continua,No,no disponible en todos los años,
concentradohogar,pred_cons,numérica continua,No,no disponible en todos los años,
concentradohogar,agua,numérica continua,No,no disponible en todos los años,
concentradohogar,energia,numérica continua,No,no disponible en todos los años,
concentradohogar,limpieza,numérica continua,No,no disponible en todos los años,
concentradohogar,cuidados,numérica continua,No,no disponible en todos los años,
concentradohogar,utensilios,numérica continua,No,no disponible en todos los años,
concentradohogar,enseres,numérica continua,No,no disponible en todos los años,
concentradohogar,salud,numérica continua,No,no disponible en todos los años,
concentradohogar,hospital,numérica continua,No,no disponible en todos los años,
concentradohogar,transporte,numérica continua,No,no disponible en todos los años,
concentradohogar,publico,numérica continua,No,no disponible en todos los años,
concentradohogar,foraneo,numérica continua,No,no disponible en todos los años,
concentradohogar,adqui_vehi,numérica continua,No,no disponible en todos los años,
concentradohogar,mantenim,numérica continua,No,no disponible en todos los años,
concentradohogar,refaccion,numérica continua,No,no disponible en todos los años,
concentradohogar,combus,numérica continua,No,no disponible en todos los años,
concentradohogar,comunica,numérica continua,No,no disponible en todos los años,
concentradohogar,educa_espa,numérica continua,No,no disponible en todos los años,
concentradohogar,educacion,numérica continua,No,no disponible en todos los años,
concentradohogar,esparci,numérica continua,No,no disponible en todos los años,
concentradohogar,paq_turist,numérica continua,No,no disponible en todos los años,
concentradohogar,personales,numérica continua,No,no disponible en todos los años,
concentradohogar,cuida_pers,numérica continua,No,no disponible en todos los años,
concentradohogar,acces_pers,numérica continua,No,no disponible en todos los años,
concentradohogar,otros_gas,numérica continua,No,no disponible en todos los años,
concentradohogar,transf_gas,numérica continua,No,no disponible en todos los años,
concentradohogar,percep_tot,numérica continua,No,no disponible en todos los años,
concentradohogar,retiro_inv,numérica continua,No,no disponible en todos los años,
concentradohogar,prestamos,numérica continua,No,no disponible en todos los años,
concentradohogar,otras_perc,numérica continua,No,no disponible en todos los años,
