tabla,variable,2018,2020,2022,2024,estado,decodificar
concentradohogar,acces_pers,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,aceites,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,adqui_vehi,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,agricolas,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,agrope,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,agua,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,aguinaldo,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,ali_dentro,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,ali_fuera,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,alimentos,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,alquiler,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,ambul_serv,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,arrenda,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,aten_hosp,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,atenc_ambu,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,azucar,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,balance,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,bebidas,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,becas,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,bene_gob,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,cafe,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,calzado,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,carnes,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
concentradohogar,cereales,no documentada,no documentada,no documentada,no documentada,no disponible en todos los años,False
