anio,tabla,variable,observados,documentados,mapeados,sin_mapping,codigos_sin_mapping,documentados_no_observados,normalizaciones_para_mapping,tiene_mapping
2018,concentradohogar,clase_hog,5,5,5,0,,0,,True
2018,concentradohogar,educa_jefe,11,11,11,0,,0,,True
2018,concentradohogar,est_socio,4,4,4,0,,0,,True
2018,concentradohogar,sexo_jefe,2,2,2,0,,0,,True
2018,concentradohogar,tam_loc,4,4,4,0,,0,,True
2018,hogares,acc_alim1,2,2,2,0,,0,,True
2018,hogares,acc_alim10,2,2,2,0,,0,,True
2018,hogares,acc_alim11,2,2,2,0,,0,,True
2018,hogares,acc_alim12,2,2,2,0,,0,,True
2018,hogares,acc_alim13,2,2,2,0,,0,,True
2018,hogares,acc_alim14,2,2,2,0,,0,,True
2018,hogares,acc_alim15,2,2,2,0,,0,,True
2018,hogares,acc_alim16,2,2,2,0,,0,,True
2018,hogares,acc_alim18,3,3,3,0,,0,,True
2018,hogares,acc_alim2,2,2,2,0,,0,,True
2018,hogares,acc_alim3,2,2,2,0,,0,,True
2018,hogares,acc_alim4,2,2,2,0,,0,,True
2018,hogares,acc_alim5,2,2,2,0,,0,,True
2018,hogares,acc_alim6,2,2,2,0,,0,,True
2018,hogares,acc_alim7,2,2,2,0,,0,,True
2018,hogares,acc_alim8,2,2,2,0,,0,,True
2018,hogares,acc_alim9,2,2,2,0,,0,,True
2018,hogares,anio_aspir,37,1,0,37,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 67; 78; 80; 83; 84; 85; 87; 88; 89; 90; 92; 93; 94; 95; 96; 97; 98; 99,1,,True
2018,hogares,anio_auto,52,1,1,51,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 59; 66; 67; 68; 70; 71; 73; 74; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88,0,,True
2018,hogares,anio_bici,57,1,1,56,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 52; 55; 58; 60; 62; 63; 65; 67; 68; 69; 70; 71; 73; 75; 76; 78; 79; 80; 81; 82; 83,0,,True
2018,hogares,anio_canoa,32,1,0,32,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 70; 78; 80; 83; 85; 86; 88; 89; 93; 95; 96; 98; 99,1,,True
2018,hogares,anio_carret,36,1,1,35,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 51; 60; 72; 78; 80; 82; 83; 86; 88; 89; 90; 95; 96; 97; 98; 99,0,,True
2018,hogares,anio_compu,29,1,1,28,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 88; 90; 93; 94; 95; 96; 97; 98; 99,0,,True
2018,hogares,anio_dvd,32,1,0,32,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 80; 85; 87; 88; 90; 92; 93; 94; 95; 96; 97; 98; 99,1,,True
2018,hogares,anio_ester,49,1,1,48,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 58; 60; 63; 65; 70; 73; 75; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91,0,,True
2018,hogares,anio_estuf,66,1,1,65,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 53; 54; 55; 56; 57; 58; 59; 60; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74,0,,True
2018,hogares,anio_impre,27,1,0,27,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 86; 88; 90; 95; 96; 97; 98; 99,1,,True
2018,hogares,anio_juego,25,1,0,25,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 88; 91; 95; 96; 97; 98,1,,True
2018,hogares,anio_lavad,50,1,1,49,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 51; 60; 68; 69; 70; 72; 73; 75; 76; 78; 79; 80; 82; 83; 84; 85; 86; 87; 88; 89; 90,0,,True
2018,hogares,anio_licua,59,1,1,58,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 52; 53; 58; 60; 62; 63; 65; 67; 68; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81,0,,True
2018,hogares,anio_maqui,69,1,1,68,00; 01; 02; 03; 04; 05; 06; 07; 08; 09; 10; 11; 12; 13; 14; 15; 16; 17; 18; 51; 52; 53; 54; 55; 56; 57; 58; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71,0,,True
