tabla,variable,tipo_conceptual,decodificada,estable_4_anios,observacion
hogares,anio_auto,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 213 códigos sin mapping."
hogares,anio_van,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 193 códigos sin mapping."
hogares,anio_pickup,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 215 códigos sin mapping."
hogares,anio_moto,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 152 códigos sin mapping."
hogares,anio_bici,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 230 códigos sin mapping."
hogares,anio_trici,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 143 códigos sin mapping."
hogares,anio_carret,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 140 códigos sin mapping."
hogares,anio_canoa,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 116 códigos sin mapping."
hogares,anio_otro,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 106 códigos sin mapping."
hogares,num_ester,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 40 códigos sin mapping."
hogares,anio_ester,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 201 códigos sin mapping."
hogares,num_radio,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 49 códigos sin mapping."
hogares,anio_radio,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 226 códigos sin mapping."
hogares,num_tva,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 36 códigos sin mapping."
hogares,anio_tva,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 210 códigos sin mapping."
hogares,num_tvd,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 51 códigos sin mapping."
hogares,anio_tvd,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 139 códigos sin mapping."
hogares,num_dvd,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 31 códigos sin mapping."
hogares,anio_dvd,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 146 códigos sin mapping."
hogares,num_licua,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 47 códigos sin mapping."
hogares,anio_licua,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 232 códigos sin mapping."
hogares,num_tosta,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 23 códigos sin mapping."
hogares,anio_tosta,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 180 códigos sin mapping."
hogares,num_micro,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 32 códigos sin mapping."
hogares,anio_micro,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 166 códigos sin mapping."
hogares,num_refri,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 45 códigos sin mapping."
hogares,anio_refri,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 234 códigos sin mapping."
hogares,num_estuf,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 47 códigos sin mapping."
hogares,anio_estuf,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 263 códigos sin mapping."
hogares,num_lavad,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 45 códigos sin mapping."
hogares,anio_lavad,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 210 códigos sin mapping."
hogares,num_planc,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 52 códigos sin mapping."
hogares,anio_planc,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 225 códigos sin mapping."
hogares,num_maqui,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 40 códigos sin mapping."
hogares,anio_maqui,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 280 códigos sin mapping."
hogares,num_venti,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 65 códigos sin mapping."
hogares,anio_venti,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 202 códigos sin mapping."
hogares,num_aspir,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 27 códigos sin mapping."
hogares,anio_aspir,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 156 códigos sin mapping."
hogares,num_compu,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 42 códigos sin mapping."
hogares,anio_compu,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 125 códigos sin mapping."
hogares,num_impre,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 30 códigos sin mapping."
hogares,anio_impre,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 113 códigos sin mapping."
hogares,num_juego,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 46 códigos sin mapping."
hogares,anio_juego,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 119 códigos sin mapping."
hogares,diconsa,categórica nominal,No,categorías diferentes,"Mapping extraído, pero no se decodifica por 3 códigos sin mapping."
hogares,frec_dicon,categórica ordinal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 3 códigos sin mapping."
poblacion,madre_id,identificador,No,estable,"Mapping extraído, pero no se decodifica por 67 códigos sin mapping."
poblacion,padre_id,identificador,No,estable,"Mapping extraído, pero no se decodifica por 64 códigos sin mapping."
poblacion,lenguaind,código de catálogo,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 84 códigos sin mapping."
poblacion,conyuge_id,identificador,No,estable,"Mapping extraído, pero no se decodifica por 68 códigos sin mapping."
poblacion,prob_anio,categórica nominal,No,estable,"Mapping extraído, pero no se decodifica por 238 códigos sin mapping."
poblacion,servmed_7,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 1 códigos sin mapping."
poblacion,hijos_sob,categórica nominal,No,no disponible en todos los años,"Mapping extraído, pero no se decodifica por 76 códigos sin mapping."
poblacion,trabajo_mp,categórica nominal,Sí,estable,Decodificada en corrección acotada con ficha oficial por año; columna trabajo_mp_desc creada.
