year,table,position,variable,label,dtype,source_pdf,source_page
2018,viviendas.csv,1,folioviv,Identificador de la vivienda,C (10),702825188061.pdf,16
2018,viviendas.csv,2,tipo_viv,Tipo de vivienda,C (1),702825188061.pdf,16
2018,viviendas.csv,3,mat_pared,Material de paredes,C (1),702825188061.pdf,16
2018,viviendas.csv,4,mat_techos,Material de techos,C (2),702825188061.pdf,16
2018,viviendas.csv,5,mat_pisos,Material de pisos,C (1),702825188061.pdf,16
2018,viviendas.csv,6,antiguedad,Antigüedad de la vivienda,N (2),702825188061.pdf,16
2018,viviendas.csv,7,antigua_ne,Antigüedad no especificada de la vivienda,C (1),702825188061.pdf,16
2018,viviendas.csv,8,cocina,Tiene cocina,C (1),702825188061.pdf,16
2018,viviendas.csv,9,cocina_dor,Utiliza cocina de dormitorio,C (1),702825188061.pdf,16
2018,viviendas.csv,10,cuart_dorm,Cuartos dormitorio,N (2),702825188061.pdf,16
2018,viviendas.csv,11,num_cuarto,Número de cuartos,N (2),702825188061.pdf,16
2018,viviendas.csv,12,disp_agua,Disponibilidad de agua,C (1),702825188061.pdf,16
2018,viviendas.csv,13,dotac_agua,Dotación de agua,C (1),702825188061.pdf,16
2018,viviendas.csv,14,excusado,Tiene excusado,C (1),702825188061.pdf,16
2018,viviendas.csv,15,uso_compar,Uso compartido del sanitario,C (1),702825188061.pdf,16
2018,viviendas.csv,16,sanit_agua,Sanitario conexión agua,C (1),702825188061.pdf,16
2018,viviendas.csv,17,biodigest,Dispone de biodigestor,C (1),702825188061.pdf,16
2018,viviendas.csv,18,bano_comp,Sanitario excusado regadera,N (1),702825188061.pdf,16
2018,viviendas.csv,19,bano_excus,Sanitario excusado,N (1),702825188061.pdf,16
2018,viviendas.csv,20,bano_regad,Sanitario regadera,N (1),702825188061.pdf,16
2018,viviendas.csv,21,drenaje,Destino de drenaje,C (1),702825188061.pdf,16
2018,viviendas.csv,22,disp_elect,Disponibilidad eléctrica,C (1),702825188061.pdf,16
