zona_metropolitana,nombre_oficial,clave_metropoli,tipo,cve_ent,entidad,cve_mun,clave_compuesta_municipio,municipio,poblacion_2020,anio_delimitacion,fuente,fuente_url,fecha_consulta
Guadalajara,Guadalajara,14.1.01,Zona metropolitana,14,Jalisco,039,14039,Guadalajara,1385629,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Guadalajara,Guadalajara,14.1.01,Zona metropolitana,14,Jalisco,051,14051,Juanacatlán,30855,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Guadalajara,Guadalajara,14.1.01,Zona metropolitana,14,Jalisco,070,14070,El Salto,232852,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Guadalajara,Guadalajara,14.1.01,Zona metropolitana,14,Jalisco,097,14097,Tlajomulco de Zúñiga,727750,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Guadalajara,Guadalajara,14.1.01,Zona metropolitana,14,Jalisco,098,14098,San Pedro Tlaquepaque,687127,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Guadalajara,Guadalajara,14.1.01,Zona metropolitana,14,Jalisco,101,14101,Tonalá,569913,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Guadalajara,Guadalajara,14.1.01,Zona metropolitana,14,Jalisco,120,14120,Zapopan,1476491,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Monterrey,Monterrey,19.1.01,Zona metropolitana,19,Nuevo León,006,19006,Apodaca,656464,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Monterrey,Monterrey,19.1.01,Zona metropolitana,19,Nuevo León,009,19009,Cadereyta Jiménez,122337,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
Monterrey,Monterrey,19.1.01,Zona metropolitana,19,Nuevo León,010,19010,El Carmen,104478,2020,"CONAPO / SEDATU / INEGI, Las metrópolis de México 2020, características poblacionales por municipio",https://www.datos.gob.mx/es/dataset/metropolis_mexico_2020,2026-08-31
