rank_muestral_sin_identificadores,ingreso_persona_laboral_negocio_tri,ingreso_persona_total_registros_tri,ingreso_persona_rentas_propiedad_tri,ingreso_persona_transferencias_tri,ingreso_persona_financiero_capital_tri,ingreso_persona_no_clasificado_tri,registros_ingreso,claves_ingreso_distintas,n_trabajos,tiene_trabajo_reportado
1,17021739.119999997,17373913.029999997,352173.91,0.0,0.0,0.0,3.0,3.0,1.0,True
2,5978481.63,5978481.63,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
3,4426229.5,4721311.46,295081.96,0.0,0.0,0.0,2.0,2.0,1.0,True
4,3834046.95,3834046.95,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
5,3145054.93,3145054.93,0.0,0.0,0.0,0.0,2.0,2.0,1.0,True
6,2785304.34,2787505.42,2201.08,0.0,0.0,0.0,2.0,2.0,1.0,True
7,2211983.6,2211983.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
8,2188032.78,2188032.78,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
9,1864956.52,1864956.52,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True
10,1700815.1,1709619.4400000002,0.0,5869.56,2934.78,0.0,3.0,3.0,1.0,True
