nivelaprob_desc,educa_jefe_desc,n,pct_jefes
Secundaria,Secundaria completa,18823,0.27666642169471595
Preparatoria o bachillerato,Preparatoria completa,10066,0.14795325935180423
Primaria,Primaria completa,10063,0.1479091644006761
Licenciatura o Ingeniería (profesional),Profesional completa,8415,0.12368633791430882
Primaria,Primaria incompleta,7546,0.11091350040420372
Ninguno,Sin instrucción,2701,0.03970015433232895
Licenciatura o Ingeniería (profesional),Profesional incompleta,2389,0.03511427941500698
Preparatoria o bachillerato,Preparatoria incompleta,2356,0.034629234952597926
Secundaria,Secundaria incompleta,2104,0.030925259057837877
Maestría,Posgrado,1255,0.018446387888586758
Estudios técnicos o comerciales,Secundaria completa,1066,0.01566840596751672
Estudios técnicos o comerciales,Preparatoria completa,531,0.0078048063496729625
Doctorado,Posgrado,247,0.003630484309546557
Especialidad,Posgrado,199,0.002924965091497024
Normal,Preparatoria completa,114,0.0016756081428676416
Estudios técnicos o comerciales,Primaria completa,77,0.0011317704122877931
Normal,Secundaria completa,63,0.0009259939736900125
Preescolar o kínder,Preescolar,18,0.000264569706768575
Normal,Primaria completa,2,2.9396634085397223e-05
