parentesco_desc,n,pct_universo,pct_sexo_igual_a_jefatura,pct_educacion_texto_igual_a_jefatura
Jefe(a),68035,0.4805444310243751,1.0,0.0
"Hijo(a), hijo(a) consanguíneo, hijo(a) reconocido",34115,0.24096087696621674,0.5259856368166496,0.0
"Esposo(a), compañero(a), cónyuge, pareja, marido, mujer, señor(a), consorte",27867,0.19683003835314558,0.00782287293214196,0.0
"Nuera, yerno",3765,0.02659292691712754,0.5120849933598938,0.0
Nieto(a),2259,0.015955756150276525,0.47985834440017705,0.0
Hermano(a),1910,0.013490701304572006,0.5303664921465968,0.0
Sobrino(a),890,0.006286243016266537,0.5865168539325842,0.0
No tiene parentesco,669,0.004725277053800352,0.6517189835575485,0.0
Cuñado(a),545,0.0038494409481632163,0.5284403669724771,0.0
"Madre, padre",491,0.0034680284505470443,0.4847250509164969,0.0
"Hijastro(a), entenado(a)",384,0.002712266649715,0.5885416666666666,0.0
Suegro(a),208,0.0014691444352622916,0.3605769230769231,0.0
Primo(a) nóicpircseD .4202 y,163,0.0011513006872488152,0.6441717791411042,0.0
Tío(a),66,0.00046617083041976563,0.5454545454545454,0.0
Pareja del mismo sexo,61,0.00043085485841826826,1.0,0.0
Concubino(a),50,0.000353159720014974,0.0,0.0
Concuño(a),24,0.0001695166656071875,0.6666666666666666,0.0
"Padrastro, madrastra",17,0.00012007430480509115,0.5882352941176471,0.0
Abuelo(a),16,0.00011301111040479167,0.4375,0.0
"Familiar, otro parentesco",15,0.0001059479160044922,0.5333333333333333,0.0
Bisnieto(a),12,8.475833280359376e-05,0.6666666666666666,0.0
Hijo(a) adoptivo(a),6,4.237916640179688e-05,0.6666666666666666,0.0
Ahijado(a),4,2.8252777601197916e-05,1.0,0.0
"Compadre, comadre",3,2.118958320089844e-05,0.6666666666666666,0.0
Consuegro(a),1,7.063194400299479e-06,0.0,0.0
Bisabuelo(a),1,7.063194400299479e-06,0.0,0.0
Medio(a) hermano(a),1,7.063194400299479e-06,1.0,0.0
Hijo(a) de crianza,1,7.063194400299479e-06,1.0,0.0
