ambito,anio,segsoc_codigo,segsoc_etiqueta,n,pct_en_anio_ambito
mart_persona_completo,2018,1,Sí,86361,0.32079894207409937
mart_persona_completo,2018,2,No,125898,0.46766416796059523
mart_persona_completo,2018,<NA>,<NA>,56947,0.21153688996530537
mart_persona_completo,2020,1,Sí,107077,0.3391270748678514
mart_persona_completo,2020,2,No nóicpircseD .0202 y,147146,0.4660309175500328
mart_persona_completo,2020,<NA>,<NA>,61520,0.19484200758211584
mart_persona_completo,2022,1,Sí,107549,0.3472862660001808
mart_persona_completo,2022,2,No nóicpircseD .2202 y,143146,0.4622324692266956
mart_persona_completo,2022,<NA>,<NA>,58989,0.19048126477312358
mart_persona_completo,2024,1,Sí,107763,0.34920187428304783
mart_persona_completo,2024,2,No,144641,0.4687036208919047
mart_persona_completo,2024,<NA>,<NA>,56194,0.18209450482504747
universo_determinantes,2018,1,Sí,68625,0.5716177720025988
universo_determinantes,2018,2,No,51429,0.42838222799740117
universo_determinantes,2020,1,Sí,81436,0.5842145286023789
universo_determinantes,2020,2,No nóicpircseD .0202 y,57958,0.4157854713976211
universo_determinantes,2022,1,Sí,83518,0.5901748236923555
universo_determinantes,2022,2,No nóicpircseD .2202 y,57996,0.4098251763076445
universo_determinantes,2024,1,Sí,83301,0.5883711567393469
universo_determinantes,2024,2,No,58278,0.4116288432606531
