variable,categoria_preparada,n,pct_universo
subor_principal_desc,Sí,104929,0.7411339252290241
subor_principal_desc,No,31445,0.22210214791741714
subor_principal_desc,No aplica: sin trabajo principal reportado,5205,0.03676392685355879
tam_emp_principal_desc,De 2 a 5 personas,44142,0.3117835272180196
tam_emp_principal_desc,De 1 persona,26026,0.18382669746219424
tam_emp_principal_desc,De 6 a 10 personas,15111,0.10673193058292543
tam_emp_principal_desc,De 501 a más personas,7351,0.05192154203660147
tam_emp_principal_desc,De 11 a 15 personas,7196,0.050826746904555055
tam_emp_principal_desc,De 51 a 100 personas,6408,0.04526094971711907
tam_emp_principal_desc,De 31 a 50 personas,5921,0.041821174044173216
tam_emp_principal_desc,De 16 a 20 personas,5670,0.04004831224969805
tam_emp_principal_desc,De 101 a 250 personas,5619,0.03968808933528278
tam_emp_principal_desc,De 21 a 30 personas,5398,0.03812712337281659
tam_emp_principal_desc,No aplica: sin trabajo principal reportado,5205,0.03676392685355879
tam_emp_principal_desc,De 251 a 500 personas,4433,0.03131114077652759
tam_emp_principal_desc,No sabe,3099,0.021888839446528086
