anio,tabla,variable,observados,documentados,mapeados,sin_mapping,codigos_sin_mapping,documentados_no_observados,normalizaciones_para_mapping,tiene_mapping
2018,poblacion,segsoc,2,2,2,0,,0,,True
2018,trabajos,contrato,2,2,2,0,,0,,True
2018,trabajos,pago,3,3,3,0,,0,,True
2018,trabajos,subor,2,2,2,0,,0,,True
2018,trabajos,tam_emp,12,12,12,0,,0,,True
2020,poblacion,segsoc,2,2,2,0,,0,,True
2020,trabajos,contrato,2,2,2,0,,0,,True
2020,trabajos,pago,3,3,3,0,,0,,True
2020,trabajos,subor,2,2,2,0,,0,,True
2020,trabajos,tam_emp,12,12,12,0,,0,,True
2022,poblacion,segsoc,2,2,2,0,,0,,True
2022,trabajos,contrato,2,2,2,0,,0,,True
2022,trabajos,pago,3,3,3,0,,0,,True
2022,trabajos,subor,2,2,2,0,,0,,True
2022,trabajos,tam_emp,12,12,12,0,,0,,True
2024,poblacion,segsoc,2,2,2,0,,0,,True
2024,trabajos,contrato,2,2,2,0,,0,,True
2024,trabajos,pago,3,3,3,0,,0,,True
2024,trabajos,subor,2,2,2,0,,0,,True
2024,trabajos,tam_emp,12,12,12,0,,0,,True
