columna_matriz,r2_auxiliar_con_intercepto,vif_auxiliar_con_intercepto,vif_guardado,diferencia_abs,estado
contrato_principal_desc__no_aplica_sin_contrato_principal_documentado,0.9726017606828404,36.49869571632284,36.49869571627536,4.7485571030847495e-11,ok
subor_principal_desc__si,0.9725192112933377,36.389057485732444,36.38905748568494,4.75068873129203e-11,ok
nivelaprob_desc__secundaria,0.9206196935192359,12.597583006842203,12.597583006845536,3.33244543071487e-12,ok
nivelaprob_desc__preparatoria_o_bachillerato,0.9155097856452369,11.83569017591947,11.835690175922837,3.3661962106634746e-12,ok
nivelaprob_desc__licenciatura_o_ingenieria_profesional,0.9151011329078542,11.778720190867102,11.778720190870906,3.8049563499953365e-12,ok
nivelaprob_desc__primaria,0.8908147475142519,9.158746050713487,9.158746050715028,1.5401013797600172e-12,ok
educa_jefe_desc__secundaria_completa,0.8734216143938972,7.900242961795102,7.900242961796901,1.7994494783124537e-12,ok
educa_jefe_desc__preparatoria_completa,0.8276756834307103,5.803011553496637,5.803011553497795,1.1581846592889633e-12,ok
educa_jefe_desc__profesional_completa,0.8192799553537942,5.533420501072207,5.533420501073588,1.3811174426336947e-12,ok
educa_jefe_desc__primaria_completa,0.806728683345932,5.174073511331624,5.17407351133238,7.558398351648066e-13,ok
educa_jefe_desc__primaria_incompleta,0.7651267866532631,4.2576162081272635,4.25761620812779,5.266898028821743e-13,ok
educa_jefe_desc__posgrado,0.6390562784878915,2.770515014946598,2.770515014946937,3.3928415632544784e-13,ok
parentesco_desc__hijo_a_hijo_a_consanguineo_hijo_a_reconocido,0.6345728286961374,2.7365233855817275,2.736523385581707,2.042810365310288e-14,ok
nivelaprob_desc__maestria,0.627004991067539,2.681001021600995,2.6810010216014257,4.3076653355456074e-13,ok
edad,0.6054102504154848,2.534277692344907,2.5342776923448502,5.684341886080802e-14,ok
