anio,unidad,dominio,universo,estimando,variable,ponderador,unidad_monetaria,nota,n_muestral,poblacion_expandida,M_D,H_D,M_diseno,H_diseno,estratos_singleton_diseno,estimacion,estimacion_directa,diferencia_directa,var_jkn,se_jkn,nu,tcrit_95,ic95_inf,ic95_sup,replicas_usadas,estado
2018,hogar,Nacional,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,74647,34400515.0,8377,543,8377,543,0,49851.0053519661,49851.0053519661,0.0,206998.43988209454,454.9708121210574,7834,1.9602668478993812,48959.14115220334,50742.869551728865,8377,ok
2018,hogar,Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,17334,6497756.0,2309,131,8377,543,0,58698.97057763635,58698.97057763635,0.0,1198347.5400024168,1094.6906138276772,2178,1.961053776864473,56552.223414891494,60845.7177403812,8377,ok
2018,hogar,Centro Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,22697,7257683.0,2418,136,8377,543,0,52175.75402784194,52175.75402784195,7.275957614183426e-12,490327.5274944895,700.233909129292,2282,1.9610040847043342,50802.592471790915,53548.915583892966,8377,ok
2018,hogar,Centro,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,18425,12939022.0,2057,133,8377,543,0,52910.58214960606,52910.58214960606,0.0,924422.8925089805,961.4691323745035,1924,1.9611977365752096,51024.95106340625,54796.213235805866,8377,ok
2018,hogar,Sur,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,16191,7706054.0,1593,143,8377,543,0,35063.65250283997,35063.65250283998,7.275957614183426e-12,225669.1527452106,475.0464743003684,1450,1.961601376952093,34131.80068473613,35995.50432094381,8377,ok
2020,hogar,Nacional,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,89006,35749659.0,10118,558,10118,558,0,50309.31315023509,50309.31315023509,0.0,160389.21107585204,400.4862183344791,9560,1.9602121609508778,49524.27519476262,51094.35110570756,10118,ok
2020,hogar,Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,20869,6850027.0,2783,136,10118,558,0,62594.34529150031,62594.345291500314,7.275957614183426e-12,1378658.6449303697,1174.1629550153461,2647,1.9608605987811094,60291.975416462315,64896.7151665383,10118,ok
2020,hogar,Centro Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,26797,7524397.0,2920,138,10118,558,0,52504.77402829091,52504.77402829091,0.0,362568.65926180815,602.1367446534119,2782,1.9608170708511858,51324.09402038773,53685.45403619408,10118,ok
2020,hogar,Centro,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,22067,13271925.0,2484,136,10118,558,0,51086.40903829023,51086.40903829023,0.0,614378.2037063517,783.822813974148,2348,1.9609748336795056,49549.352226023075,52623.46585055738,10118,ok
2020,hogar,Sur,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,19273,8103310.0,1931,148,10118,558,0,36612.94963309561,36612.94963309561,0.0,165558.0654358174,406.8882714404747,1783,1.9612953670638635,35814.921551406784,37410.977714784436,10118,ok
2022,hogar,Nacional,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,90102,37560123.0,10211,560,10211,560,0,63695.45790004601,63695.45790004601,0.0,193906.41991746976,440.3480667806659,9651,1.9602098205861815,62832.28329506641,64558.632505025605,10211,ok
2022,hogar,Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,21303,7231975.0,2801,137,10211,560,0,79522.03275628304,79522.03275628304,0.0,929600.4996358594,964.1579225603342,2664,1.9608548745870857,77631.45899395885,81412.60651860722,10211,ok
2022,hogar,Centro Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,26790,7872090.0,2943,138,10211,560,0,66309.0141972818,66309.0141972818,0.0,631971.4646004832,794.9663292243787,2805,1.9608100728797724,64750.23621133838,67867.79218322522,10211,ok
2022,hogar,Centro,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,22088,13956743.0,2509,137,10211,560,0,63798.942934013336,63798.94293401333,7.275957614183426e-12,812813.5890849859,901.5617500121585,2372,1.9609646007320105,62031.01225686549,65566.87361116118,10211,ok
2022,hogar,Sur,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,19921,8499315.0,1958,148,10211,560,0,47638.18056519378,47638.180565193776,7.275957614183426e-12,375751.88897256495,612.9860430487507,1810,1.961275493602014,46435.946061042196,48840.41506934537,10211,ok
2024,hogar,Nacional,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,91414,38830230.0,10569,681,10569,681,0,77863.84301199632,77863.84301199632,0.0,366768.0916264176,605.6138139329531,9888,1.960203927572071,76676.71643533304,79050.96958865959,10569,ok
2024,hogar,Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,21698,7350622.0,2848,148,10569,681,0,97408.38687415433,97408.38687415433,0.0,5198675.384522548,2280.0603905428793,2700,1.9608429908181564,92937.5464387162,101879.22730959245,10569,ok
2024,hogar,Centro Norte,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,27359,8274472.0,3131,181,10569,681,0,79356.92449008227,79356.92449008227,0.0,1247021.6516518814,1116.7012365229482,2950,1.9607684687112688,77167.33191653718,81546.51706362735,10569,ok
2024,hogar,Centro,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,22266,14578788.0,2597,174,10569,681,0,79874.6643979568,79874.6643979568,0.0,766367.8090333901,875.4243594014221,2423,1.9609435291309145,78158.006665145,81591.3221307686,10569,ok
2024,hogar,Sur,Hogares ENIGH presentes en mart_hogar,media_ingreso_corriente_hogar,ing_cor_hogar_oficial_tri,factor,pesos nominales trimestrales,Media de razon: ingreso corriente trimestral del hogar / hogares expandidos.,20091,8626348.0,1993,178,10569,681,0,56379.15984490539,56379.15984490539,0.0,279743.0662735945,528.9074269412318,1815,1.9612718782599576,55341.82858224272,57416.491107568065,10569,ok
2018,persona,Nacional,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,269206,123934029.0,8377,543,8377,543,0,0.47834634666803255,0.47834634666803255,0.0,2.2653233410930982e-06,0.0015050991133786168,7834,1.9602668478993812,0.4753959507732737,0.4812967425627914,8377,ok
2018,persona,Nacional,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,127846,59283390.0,8360,543,8377,543,0,20275.033716763835,20275.033716763835,0.0,48220.0931722755,219.59074017880513,7817,1.960267506652186,19844.57712402962,20705.49030949805,8377,ok
2018,persona,Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,59580,22388719.0,2309,131,8377,543,0,0.4728137862644129,0.4728137862644129,0.0,6.650055562446658e-06,0.002578770164719349,2178,1.961053776864473,0.4677566792932246,0.47787089323560117,8377,ok
2018,persona,Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,27699,10585695.0,2301,131,8377,543,0,25861.427146443384,25861.427146443388,3.637978807091713e-12,304253.96917710087,551.5922127596626,2170,1.9610577967357123,24779.722936992344,26943.131355894424,8377,ok
2018,persona,Centro Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,81251,26184113.0,2418,136,8377,543,0,0.48171259419786344,0.48171259419786344,0.0,7.034901162664059e-06,0.0026523388099305976,2282,1.9610040847043342,0.4765113469575697,0.4869138414381572,8377,ok
2018,persona,Centro Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,38648,12613217.0,2413,136,8377,543,0,20675.567089377753,20675.567089377753,0.0,124187.95759401134,352.403118025382,2277,1.961006369824784,19984.502330183863,21366.631848571644,8377,ok
2018,persona,Centro,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,68974,47239740.0,2057,133,8377,543,0,0.47880617039805895,0.47880617039805895,0.0,8.659196850304633e-06,0.002942651330060127,1924,1.9611977365752096,0.473035049270015,0.4845772915261029,8377,ok
2018,persona,Centro,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,32790,22618679.0,2054,133,8377,543,0,21457.450760177904,21457.450760177904,0.0,207305.07477012498,455.30767044947197,1921,1.961199664503178,20564.501509646678,22350.40001070913,8377,ok
2018,persona,Sur,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,59401,28121457.0,1593,143,8377,543,0,0.47884428605530643,0.47884428605530643,0.0,9.255598826597921e-06,0.0030423015673331794,1450,1.961601376952093,0.47287650311172214,0.48481206899889073,8377,ok
2018,persona,Sur,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,28709,13465799.0,1592,143,8377,543,0,13522.179104109604,13522.179104109604,0.0,49569.946003528574,222.6430910752197,1449,1.961602507895765,13085.441858290787,13958.91634992842,8377,ok
2020,persona,Nacional,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,315743,126838467.0,10118,558,10118,558,0,0.4678818768757273,0.4678818768757273,0.0,1.843473277632939e-06,0.001357745660141449,9560,1.9602121609508778,0.46522040732123976,0.47054334643021484,10118,ok
2020,persona,Nacional,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,148082,59345420.0,10085,558,10118,558,0,20055.380066950238,20055.380066950238,0.0,38864.002246911645,197.13955018441035,9527,1.9602130207022688,19668.944553783367,20441.81558011711,10118,ok
2020,persona,Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,70532,23082980.0,2783,136,10118,558,0,0.4622699062252794,0.4622699062252794,0.0,5.356536982755898e-06,0.0023144193619039524,2647,1.9608605987811094,0.45773165248946585,0.466808159961093,10118,ok
2020,persona,Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,32163,10670567.0,2769,136,10118,558,0,27370.759794165577,27370.75979416558,3.637978807091713e-12,333168.5322087591,577.2075295842554,2633,1.9608653683492085,26238.93353905341,28502.586049277743,10118,ok
2020,persona,Centro Norte,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,94181,26751497.0,2920,138,10118,558,0,0.47153649008876025,0.47153649008876025,0.0,6.513721957846471e-06,0.0025521994353589358,2782,1.9608170708511858,0.4665320938676917,0.4765408863098288,10118,ok
2020,persona,Centro Norte,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,44782,12614307.0,2913,138,10118,558,0,21129.066969021766,21129.066969021762,3.637978807091713e-12,89388.85990434076,298.97969814745073,2775,1.9608192237039712,20542.821829397035,21715.312108646496,10118,ok
2020,persona,Centro,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,81647,47996579.0,2484,136,10118,558,0,0.4637360716896094,0.4637360716896094,0.0,6.318435610880201e-06,0.002513649858448905,2348,1.9609748336795056,0.45880686757650907,0.4686652758027097,10118,ok
2020,persona,Centro,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,37928,22257745.0,2480,136,10118,558,0,19867.2517980312,19867.2517980312,0.0,154583.19155206214,393.17069009790407,2344,1.9609765595537048,19096.253290845656,20638.250305216745,10118,ok
2020,persona,Sur,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,69383,29007411.0,1931,148,10118,558,0,0.4758370541928061,0.4758370541928061,0.0,9.084753836829276e-06,0.003014092539526495,1783,1.9612953670638635,0.469925528459131,0.4817485799264812,10118,ok
2020,persona,Sur,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,33209,13802801.0,1923,148,10118,558,0,13722.190544228666,13722.190544228668,1.8189894035458565e-12,36016.741004018826,189.7807709016349,1775,1.961301371684585,13349.973257939932,14094.4078305174,10118,ok
2022,persona,Nacional,"Personas validas en mart_persona, incluidas personas menores",proporcion_ingreso_laboral_negocio_positivo,I(ingreso_persona_laboral_negocio_tri > 0),factor,proporcion,Proporcion descriptiva; no se interpreta como empleo ni participacion laboral.,309684,128999038.0,10211,560,10211,560,0,0.48425816942913946,0.48425816942913946,0.0,1.983335653577512e-06,0.001408309502054684,9651,1.9602098205861815,0.481497587312787,0.4870187515454919,10211,ok
2022,persona,Nacional,Personas con ingreso laboral/negocio positivo en mart_persona,media_ingreso_laboral_negocio_positivo,ingreso_persona_laboral_negocio_tri,factor,pesos nominales trimestrales,Media condicionada al dominio I(ingreso > 0).,149569,62468838.0,10176,560,10211,560,0,26083.49059204975,26083.490592049755,3.637978807091713e-12,43441.77810907083,208.42691311121706,9616,1.960210715479831,25674.92992357476,26492.051260524742,10211,ok
