variable,categoria,n,media_target,mediana_target,desv_std_target,min_target,max_target
sexo_desc,Hombre,82304,35852.68466210634,27513.57,79683.17724277017,2.95,17021739.119999997
sexo_desc,Mujer,59275,24672.505844622523,19565.21,30772.792107258192,2.93,2211983.6
nivelaprob_desc,Doctorado,417,89350.46834532374,73858.68,65831.21876826888,352.17,500086.95
nivelaprob_desc,Especialidad,360,85087.23477777779,59016.39,84824.33902735909,207.88,809409.83
nivelaprob_desc,Estudios técnicos o comerciales,3513,33115.182838030174,27568.67,40733.63372176756,30.81,1602652.13
nivelaprob_desc,Licenciatura o Ingeniería (profesional),27905,47317.731013796816,36684.78,119744.68549708079,8.85,17021739.119999997
nivelaprob_desc,Maestría,2243,76960.85192599197,59530.59,71511.15519452342,97.82,1281864.13
nivelaprob_desc,Ninguno,4145,16676.572371531965,9642.85,97708.75186849984,5.86,5978481.63
nivelaprob_desc,Normal,422,39691.48172985783,37863.755000000005,31398.614758449457,103.84,316483.5
nivelaprob_desc,Preescolar o kínder,43,16513.019069767444,16795.57,11416.5302456517,829.17,44262.29
nivelaprob_desc,Preparatoria o bachillerato,32230,30023.44895966491,25434.78,28691.58616143061,5.86,1251684.76
nivelaprob_desc,Primaria,28255,20473.54722031499,16912.08,27848.0671017424,2.95,1864956.52
nivelaprob_desc,Secundaria,42046,26240.62660324406,23114.74,35551.504365133376,2.93,3834046.95
region_banxico,Centro,35628,28659.891189513863,22622.94,35788.4806206697,4.89,2188032.78
region_banxico,Centro Norte,41846,32465.983199111033,25434.78,45515.35963269492,2.95,4426229.5
region_banxico,Norte,32110,39361.463750545,31499.99,113914.6453689954,4.89,17021739.119999997
region_banxico,Sur,31995,24057.49039193624,18098.36,30601.780142143074,2.93,1364673.9
tam_loc_desc,Localidades con 100 000 y más habitantes,54544,39601.047486982985,30937.48,84989.3262667146,3.91,17021739.119999997
tam_loc_desc,Localidades con 15 000 a 99 999 habitantes,16662,31790.022918617215,25081.96,50347.39668387917,17.8,4426229.5
tam_loc_desc,Localidades con 2 500 a 14 999 habitantes,17301,26809.222920640426,21423.91,33582.632127854464,5.86,1222239.13
tam_loc_desc,Localidades con menos de 2 500 habitantes,53072,23737.01538702141,19038.455,47580.940302087816,2.93,5978481.63
parentesco_desc,Abuelo(a),16,11626.615000000002,7275.8099999999995,12802.795564269549,244.56,47934.77
parentesco_desc,Ahijado(a),4,42314.104999999996,36213.979999999996,20664.45116317473,26608.69,70219.77
parentesco_desc,Bisabuelo(a),1,25434.78,25434.78,0.0,25434.78,25434.78
parentesco_desc,Bisnieto(a),12,14230.853333333333,17387.01,9399.930473421147,1297.17,25573.76
parentesco_desc,"Compadre, comadre",3,29757.033333333336,31945.04,17515.84540302104,11249.98,46076.08
parentesco_desc,Concubino(a),50,31572.007800000003,23048.92,30109.203299680496,816.84,162245.9
parentesco_desc,Concuño(a),24,28703.287083333333,29249.989999999998,12801.8456797429,3688.52,67005.48
parentesco_desc,Consuegro(a),1,1076.08,1076.08,0.0,1076.08,1076.08
parentesco_desc,Cuñado(a),545,25528.60310091743,23606.54,17479.574130491066,11.73,160813.18
parentesco_desc,"Esposo(a), compañero(a), cónyuge, pareja, marido, mujer, señor(a), consorte",27867,26191.01543079628,19694.75,36777.04147696172,2.93,2211983.6
parentesco_desc,"Familiar, otro parentesco",15,29776.957333333336,29803.26,22311.583526053542,146.73,92398.33
parentesco_desc,Hermano(a),1910,27082.88201570681,23478.26,22066.734496186484,46.72,224085.24
parentesco_desc,"Hijastro(a), entenado(a)",384,21888.033229166667,20660.730000000003,15917.016017442878,74.17,125851.64
parentesco_desc,Hijo(a) adoptivo(a),6,23518.431666666667,26486.665,14968.915859929759,5901.63,38360.64
parentesco_desc,Hijo(a) de crianza,1,1352.45,1352.45,0.0,1352.45,1352.45
parentesco_desc,"Hijo(a), hijo(a) consanguíneo, hijo(a) reconocido",34115,25645.17261409937,22721.300000000003,23934.17280809883,5.86,1251684.76
parentesco_desc,Jefe(a),68035,36775.01007540237,27586.95,86131.40682945421,2.95,17021739.119999997
parentesco_desc,"Madre, padre",491,25907.012423625252,13499.99,144266.2313956157,61.63,3145054.93
parentesco_desc,Medio(a) hermano(a),1,35409.82,35409.82,0.0,35409.82,35409.82
parentesco_desc,Nieto(a),2259,21808.102749003985,20655.73,15829.747177436786,97.82,239026.22
parentesco_desc,No tiene parentesco,669,37195.46880418535,29934.77,55126.615339698656,73.77,1281864.13
parentesco_desc,"Nuera, yerno",3765,28170.73057901726,24505.42,23740.21140662757,49.18,469589.66
parentesco_desc,"Padrastro, madrastra",17,32999.92823529412,32852.45,16426.21027510463,5649.45,67579.09
parentesco_desc,Pareja del mismo sexo,61,36728.301311475414,31401.07,24477.831684026096,437.28,104918.47
parentesco_desc,Primo(a) nóicpircseD .4202 y,163,31480.241533742326,28124.99,23211.62624051235,110.05,217391.08
parentesco_desc,Sobrino(a),890,25085.399617977528,23163.809999999998,18741.911805140506,11.73,148351.63
parentesco_desc,Suegro(a),208,20678.096009615383,16540.82,24952.913798799622,58.69,263883.91
parentesco_desc,Tío(a),66,22315.62818181818,20158.5,20294.514563813613,442.62,131803.26
hablaind_desc,No,130582,32334.400122222054,25081.96,66431.39019477427,2.93,17021739.119999997
hablaind_desc,Sí,10997,17367.600764754025,12494.34,20162.166589696793,5.86,445573.76
segsoc_desc,No,58278,20626.383944713274,14950.81,44153.1939781123,2.93,4426229.5
segsoc_desc,Sí,83301,38549.57009927852,30937.480000000003,74181.13284082645,3.91,17021739.119999997
subor_principal_desc,No,31445,27238.278559071394,12595.1,124050.87501220986,2.93,17021739.119999997
subor_principal_desc,No aplica: sin trabajo principal reportado,5205,8616.003646493757,3913.04,15879.85861709808,19.56,611413.04
subor_principal_desc,Sí,104929,33469.56679373672,27098.35,29951.83957469766,5.86,1251684.76
contrato_principal_desc,No,52696,23113.315975216334,20459.01,18605.905775524443,24.45,845217.38
contrato_principal_desc,No aplica: sin contrato principal documentado,37124,24304.06667708221,10614.13,114514.13223963635,2.93,17021739.119999997
contrato_principal_desc,Sí,51759,44302.22130296181,35999.98,35126.40698248091,48.91,1251684.76
sexo_jefe_desc,Hombre,100575,32359.97019617201,24701.08,73238.21371992525,2.93,17021739.119999997
