variable_a,variable_b,cramers_v,nota
sexo_desc,nivelaprob_desc,0.10060257830742766,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,region_banxico,0.02774395783015814,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,tam_loc_desc,0.06092071929364999,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,parentesco_desc,0.43077487154968924,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,hablaind_desc,0.020814264634324214,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,segsoc_desc,0.07717263868802701,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,subor_principal_desc,0.09565819947094545,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,contrato_principal_desc,0.08727878756888117,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,sexo_jefe_desc,0.26254515073967527,Asociacion descriptiva entre categoricas; sin p-values.
sexo_desc,educa_jefe_desc,0.039531863359651365,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,region_banxico,0.07236159062554962,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,tam_loc_desc,0.20738448421569114,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,parentesco_desc,0.089694252956465,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,hablaind_desc,0.2305253154602773,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,segsoc_desc,0.3088372873344817,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,subor_principal_desc,0.1580580428324225,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,contrato_principal_desc,0.27382408741889774,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,sexo_jefe_desc,0.047026542917672665,Asociacion descriptiva entre categoricas; sin p-values.
nivelaprob_desc,educa_jefe_desc,0.4491972096345841,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,tam_loc_desc,0.12939573053453457,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,parentesco_desc,0.03876598029536411,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,hablaind_desc,0.2848981284880336,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,segsoc_desc,0.22492352246100564,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,subor_principal_desc,0.10521611083172384,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,contrato_principal_desc,0.13717479418379494,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,sexo_jefe_desc,0.01615124382803912,Asociacion descriptiva entre categoricas; sin p-values.
region_banxico,educa_jefe_desc,0.08056253997381502,Asociacion descriptiva entre categoricas; sin p-values.
tam_loc_desc,parentesco_desc,0.04229692412019237,Asociacion descriptiva entre categoricas; sin p-values.
tam_loc_desc,hablaind_desc,0.204448928672274,Asociacion descriptiva entre categoricas; sin p-values.
tam_loc_desc,segsoc_desc,0.321539798807968,Asociacion descriptiva entre categoricas; sin p-values.
tam_loc_desc,subor_principal_desc,0.11352289969938369,Asociacion descriptiva entre categoricas; sin p-values.
tam_loc_desc,contrato_principal_desc,0.2060620546116863,Asociacion descriptiva entre categoricas; sin p-values.
tam_loc_desc,sexo_jefe_desc,0.09903277700302905,Asociacion descriptiva entre categoricas; sin p-values.
tam_loc_desc,educa_jefe_desc,0.21349291183744884,Asociacion descriptiva entre categoricas; sin p-values.
parentesco_desc,hablaind_desc,0.07700897823595208,Asociacion descriptiva entre categoricas; sin p-values.
parentesco_desc,segsoc_desc,0.08842264513451376,Asociacion descriptiva entre categoricas; sin p-values.
parentesco_desc,subor_principal_desc,0.15775645596986224,Asociacion descriptiva entre categoricas; sin p-values.
parentesco_desc,contrato_principal_desc,0.13411309433288338,Asociacion descriptiva entre categoricas; sin p-values.
parentesco_desc,sexo_jefe_desc,0.20871584451120928,Asociacion descriptiva entre categoricas; sin p-values.
parentesco_desc,educa_jefe_desc,0.07690657719325768,Asociacion descriptiva entre categoricas; sin p-values.
hablaind_desc,segsoc_desc,0.17884625044308125,Asociacion descriptiva entre categoricas; sin p-values.
hablaind_desc,subor_principal_desc,0.14021673913271826,Asociacion descriptiva entre categoricas; sin p-values.
hablaind_desc,contrato_principal_desc,0.154726171914619,Asociacion descriptiva entre categoricas; sin p-values.
hablaind_desc,sexo_jefe_desc,0.042990514209590644,Asociacion descriptiva entre categoricas; sin p-values.
hablaind_desc,educa_jefe_desc,0.19758841476387481,Asociacion descriptiva entre categoricas; sin p-values.
segsoc_desc,subor_principal_desc,0.27367751714233024,Asociacion descriptiva entre categoricas; sin p-values.
segsoc_desc,contrato_principal_desc,0.5204697682524271,Asociacion descriptiva entre categoricas; sin p-values.
segsoc_desc,sexo_jefe_desc,0.0066583873348542355,Asociacion descriptiva entre categoricas; sin p-values.
segsoc_desc,educa_jefe_desc,0.2924208875974093,Asociacion descriptiva entre categoricas; sin p-values.
subor_principal_desc,contrato_principal_desc,0.6972072811158063,Asociacion descriptiva entre categoricas; sin p-values.
subor_principal_desc,sexo_jefe_desc,0.05276576303946057,Asociacion descriptiva entre categoricas; sin p-values.
subor_principal_desc,educa_jefe_desc,0.09579124133680122,Asociacion descriptiva entre categoricas; sin p-values.
contrato_principal_desc,sexo_jefe_desc,0.04790676614067637,Asociacion descriptiva entre categoricas; sin p-values.
contrato_principal_desc,educa_jefe_desc,0.22415500577899064,Asociacion descriptiva entre categoricas; sin p-values.
sexo_jefe_desc,educa_jefe_desc,0.06726905348068035,Asociacion descriptiva entre categoricas; sin p-values.
