nombre,definicion_procedencia,tipo_conceptual,universo_aplicacion,faltantes_universo,faltantes_pct_universo,categorias_o_valores,papel,motivo_inclusion_exclusion,transformacion_prevista,observaciones
anio,llave persona,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,1,metadata,Llave de persona; se excluye de X.,conservar_metadata,
folioviv,llave persona,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,79960,metadata,Llave de persona; se excluye de X.,conservar_metadata,
foliohog,llave persona,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,4,metadata,Llave de persona; se excluye de X.,conservar_metadata,
numren,llave persona,metadata,"metadata, ponderacion, diseno o geografia detallada",0,0.0,17,metadata,Llave de persona; se excluye de X.,conservar_metadata,
parentesco,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,28,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
sexo,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Se usa una representacion descriptiva equivalente cuando aplica.,excluir,
edad,variable explicativa,continua,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,82,predictor candidato,Incluida en el conjunto inicial parsimonioso.,continua_sin_escalar,
hablaind,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Se usa la columna descriptiva correspondiente para interpretabilidad.,excluir,
lenguaind,variable explicativa,numerica,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,130582,0.9223260511799066,79,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
etnia,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,pendiente,"Variable potencialmente util, pero queda fuera del set inicial hasta revisar etiquetas/interpretacion.",excluir,
alfabetism,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
asis_esc,variable explicativa,codificada_o_conteo,personas de 2024 con edad >= 18 e ingreso laboral/de negocio positivo,0,0.0,2,excluida,Fuera del conjunto inicial parsimonioso; posible extension futura si se justifica.,excluir,
