variable,categoria,n,media,mediana,desv_std,media_ponderada_factor,mediana_ponderada_factor
region_banxico,Centro,35628,28659.891189513863,22622.94,35788.4806206697,32717.668371138527,24344.25
region_banxico,Centro Norte,41846,32465.983199111033,25434.78,45515.35963269492,34029.030342918304,26486.405288966725
region_banxico,Norte,32110,39361.463750545,31499.99,113914.6453689954,44293.5255949203,34507.7988372093
region_banxico,Sur,31995,24057.49039193624,18098.36,30601.780142143074,23559.175140669355,17704.91
sexo_desc,Hombre,82304,35852.68466210634,27513.57,79683.17724277017,38161.58688199756,28834.326170122724
sexo_desc,Mujer,59275,24672.505844622523,19565.21,30772.792107258192,26480.15504686765,20739.120000000003
nivelaprob_desc,Doctorado,417,89350.46834532374,73858.68,65831.21876826888,95111.42065115385,77499.32069970846
nivelaprob_desc,Especialidad,360,85087.23477777779,59016.39,84824.33902735909,91917.2628774583,62567.26155400928
nivelaprob_desc,Estudios técnicos o comerciales,3513,33115.182838030174,27568.67,40733.63372176756,32461.487560504404,27663.23693266833
nivelaprob_desc,Licenciatura o Ingeniería (profesional),27905,47317.731013796816,36684.78,119744.68549708079,50515.5576509366,37907.59
nivelaprob_desc,Maestría,2243,76960.85192599197,59530.59,71511.15519452342,83637.33801101723,62379.88297239915
nivelaprob_desc,Ninguno,4145,16676.572371531965,9642.85,97708.75186849984,13544.821733214918,9200.913584474885
nivelaprob_desc,Normal,422,39691.48172985783,37863.755000000005,31398.614758449457,41450.94900248455,38152.17
nivelaprob_desc,Preescolar o kínder,43,16513.019069767444,16795.57,11416.5302456517,15198.943566154456,14102.948085106382
nivelaprob_desc,Preparatoria o bachillerato,32230,30023.44895966491,25434.78,28691.58616143061,30043.760543198536,25475.39742663657
nivelaprob_desc,Primaria,28255,20473.54722031499,16912.08,27848.0671017424,19718.900107697158,16434.78
nivelaprob_desc,Secundaria,42046,26240.62660324406,23114.74,35551.504365133376,25877.79687007009,23213.1
