anio,variable,referencia_prevista,referencia_encontrada,referencia_presente,n_referencia,categorias_observadas,anio_base_comparacion,categorias_nuevas_vs_anio_base,categorias_ausentes_vs_anio_base,error
2018,sexo_desc,Hombre,Hombre,True,71734,2,2024,,,
2018,nivelaprob_desc,Ninguno,Ninguno,True,4833,10,2024,Carrera técnica o comercial; Preescolar; Profesional,Especialidad; Estudios técnicos o comerciales; Licenciatura o Ingeniería (profesional); Preescolar o kínder,
2018,region_banxico,Centro,Centro,True,30762,4,2024,,,
2018,tam_loc_desc,prefijo: Localidades con 100 000,Localidades con 100 000 y más habitantes,True,43910,4,2024,,,
2018,parentesco_desc,Jefe(a),Jefe(a),True,58573,25,2024,Primo(a); Sobrino(a) .9102 nóicpircseD .8102 y,Bisabuelo(a); Hijo(a) de crianza; Medio(a) hermano(a); Primo(a) nóicpircseD .4202 y; Sobrino(a),
2018,hablaind_desc,No,No,True,110980,2,2024,,,
2018,segsoc_desc,No,No,True,51429,2,2024,,,
2018,subor_principal_desc,No,No,True,26726,3,2024,,,
2018,contrato_principal_desc,No,No,True,47620,3,2024,,,
2018,sexo_jefe_desc,Hombre,Hombre,True,91216,2,2024,,,
2018,educa_jefe_desc,prefijo: Sin instrucci,Sin instrucción,True,7806,11,2024,,,
2020,sexo_desc,Hombre,Hombre,True,83175,2,2024,,,
2020,nivelaprob_desc,Ninguno,Ninguno,True,4912,10,2024,Carrera técnica o comercial; Preescolar; Profesional,Especialidad; Estudios técnicos o comerciales; Licenciatura o Ingeniería (profesional); Preescolar o kínder,
2020,region_banxico,Centro,Centro,True,35795,4,2024,,,
2020,tam_loc_desc,prefijo: Localidades con 100 000,Localidades con 100 000 y más habitantes,True,50343,4,2024,,,
2020,parentesco_desc,Jefe(a),Jefe(a),True,66579,26,2024,Hermanastro(a); Primo(a); Sobrino(a) nóicpircseD .0202 y Fe de erratas,Bisabuelo(a); Hijo(a) de crianza; Medio(a) hermano(a); Primo(a) nóicpircseD .4202 y; Sobrino(a),
2020,hablaind_desc,No,No,True,129054,2,2024,,,
2020,segsoc_desc,No,,False,0,2,2024,No nóicpircseD .0202 y,No,"No se encontro referencia para segsoc_desc. Categorias: ['No nóicpircseD .0202 y', 'Sí']"
2020,subor_principal_desc,No,No,True,33332,3,2024,,,
2020,contrato_principal_desc,No,No,True,51350,3,2024,,,
2020,sexo_jefe_desc,Hombre,Hombre,True,103984,2,2024,,,
2020,educa_jefe_desc,prefijo: Sin instrucci,Sin instrucción,True,8582,11,2024,,,
2022,sexo_desc,Hombre,Hombre,True,82457,2,2024,,,
2022,nivelaprob_desc,Ninguno,Ninguno,True,4410,10,2024,Carrera técnica o comercial; Preescolar; Profesional,Especialidad; Estudios técnicos o comerciales; Licenciatura o Ingeniería (profesional); Preescolar o kínder,
2022,region_banxico,Centro,Centro,True,36036,4,2024,,,
2022,tam_loc_desc,prefijo: Localidades con 100 000,Localidades con 100 000 y más habitantes,True,52041,4,2024,,,
2022,parentesco_desc,Jefe(a),Jefe(a),True,67746,26,2024,Primo(a) nóicpircseD .2202 y,Bisabuelo(a); Medio(a) hermano(a); Primo(a) nóicpircseD .4202 y,
2022,hablaind_desc,No,No,True,130754,2,2024,,,
2022,segsoc_desc,No,,False,0,2,2024,No nóicpircseD .2202 y,No,"No se encontro referencia para segsoc_desc. Categorias: ['No nóicpircseD .2202 y', 'Sí']"
2022,subor_principal_desc,No,No,True,32186,3,2024,,,
2022,contrato_principal_desc,No,No,True,53366,3,2024,,,
2022,sexo_jefe_desc,Hombre,Hombre,True,102181,2,2024,,,
2022,educa_jefe_desc,prefijo: Sin instrucci,Sin instrucción,True,7616,11,2024,,,
2024,sexo_desc,Hombre,Hombre,True,82304,2,2024,,,
2024,nivelaprob_desc,Ninguno,Ninguno,True,4145,11,2024,,,
2024,region_banxico,Centro,Centro,True,35628,4,2024,,,
2024,tam_loc_desc,prefijo: Localidades con 100 000,Localidades con 100 000 y más habitantes,True,54544,4,2024,,,
2024,parentesco_desc,Jefe(a),Jefe(a),True,68035,28,2024,,,
2024,hablaind_desc,No,No,True,130582,2,2024,,,
2024,segsoc_desc,No,No,True,58278,2,2024,,,
2024,subor_principal_desc,No,No,True,31445,3,2024,,,
2024,contrato_principal_desc,No,No,True,52696,3,2024,,,
2024,sexo_jefe_desc,Hombre,Hombre,True,100575,2,2024,,,
2024,educa_jefe_desc,prefijo: Sin instrucci,Sin instrucción,True,7153,11,2024,,,
