dummy,variable_original,categoria_vs_resto,n_valido,frecuencia_1,frecuencia_0,media_target_1,media_target_0,punto_biserial_ingreso_original,punto_biserial_log_target,nota
sexo_desc__mujer,sexo_desc,Mujer,141579,59275,82304,24672.505844622523,35852.68466210634,-0.08595209891792978,-0.22870891635089807,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__doctorado,nivelaprob_desc,Doctorado,141579,417,141162,89350.46834532374,31000.007063303154,0.04927568912542635,0.05768949936359863,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__especialidad,nivelaprob_desc,Especialidad,141579,360,141219,85087.23477777779,31034.426938655564,0.04242067348182235,0.046821731266322004,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__estudios_tecnicos_o_comerciales,nivelaprob_desc,Estudios técnicos o comerciales,141579,3513,138066,33115.182838030174,31122.42337041705,0.004830574801058654,0.01731024482832409,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__licenciatura_o_ingenieria_profesional,nivelaprob_desc,Licenciatura o Ingeniería (profesional),141579,27905,113674,47317.731013796816,27208.340151925684,0.12466139548521347,0.2064611583479143,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__maestria,nivelaprob_desc,Maestría,141579,2243,139336,76960.85192599197,30434.768842940804,0.0905324518143596,0.11507933623702621,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__normal,nivelaprob_desc,Normal,141579,422,141157,39691.48172985783,31146.39966193671,0.007259139752924992,0.014884628609841648,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__preescolar_o_kinder,nivelaprob_desc,Preescolar o kínder,141579,43,141536,16513.019069767444,31176.32321494178,-0.003981631040488447,-0.007066945008092863,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__preparatoria_o_bachillerato,nivelaprob_desc,Preparatoria o bachillerato,141579,32230,109349,30023.44895966491,31510.360244721032,-0.009715923849854992,0.04347988123456971,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__primaria,nivelaprob_desc,Primaria,141579,28255,113324,20473.54722031499,33839.27557851823,-0.08324587412446702,-0.20109735140684612,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
nivelaprob_desc__secundaria,nivelaprob_desc,Secundaria,141579,42046,99533,26240.62660324406,33254.9883577306,-0.049945404451290594,-0.040869708824671426,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
region_banxico__centro_norte,region_banxico,Centro Norte,141579,41846,99733,32465.983199111033,30628.885217731342,0.013062918607951819,0.04953011105730907,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
region_banxico__norte,region_banxico,Norte,141579,32110,109469,39361.463750545,28769.656627355685,0.0691189728962809,0.13920414092629635,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
region_banxico__sur,region_banxico,Sur,141579,31995,109584,24057.49039193624,33249.03943349394,-0.05990524166158528,-0.17003317210033986,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
tam_loc_desc__localidades_con_15_000_a_99_999_habitantes,tam_loc_desc,Localidades con 15 000 a 99 999 habitantes,141579,16662,124917,31790.022918617215,31089.417617297884,0.0035181085974102582,0.030823481388949418,Pearson entre indicador 0/1 y target; compara categoria contra todas las demas.
