columna,vif,estado,nota
contrato_principal_desc__no_aplica_sin_contrato_principal_documentado,36.49869571627536,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
subor_principal_desc__si,36.38905748568494,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
nivelaprob_desc__secundaria,12.597583006845536,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
nivelaprob_desc__preparatoria_o_bachillerato,11.835690175922837,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
nivelaprob_desc__licenciatura_o_ingenieria_profesional,11.778720190870906,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
nivelaprob_desc__primaria,9.158746050715028,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__secundaria_completa,7.900242961796901,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__preparatoria_completa,5.803011553497795,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__profesional_completa,5.533420501073588,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__primaria_completa,5.17407351133238,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__primaria_incompleta,4.25761620812779,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__posgrado,2.7705150149469375,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
parentesco_desc__hijo_a_hijo_a_consanguineo_hijo_a_reconocido,2.736523385581707,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
nivelaprob_desc__maestria,2.6810010216014257,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
edad,2.5342776923448502,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
nivelaprob_desc__estudios_tecnicos_o_comerciales,2.419873155150378,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__profesional_incompleta,2.3625966787106383,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__preparatoria_incompleta,2.1925246826649234,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
tot_integ,2.1272899831273158,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
menores,2.0048760327993955,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
educa_jefe_desc__secundaria_incompleta,1.9604903620499052,ok,VIF_j = 1/(1-R_j^2). En dummies depende de la codificacion k-1.
