columna_matriz,variable_original,importancia_impureza
edad,edad,0.0222627665513576
n_trabajos,n_trabajos,0.0
horas_trabajos_total,horas_trabajos_total,0.15667810523508185
tot_integ,tot_integ,0.0
menores,menores,0.0
p65mas,p65mas,0.0
sexo_desc__mujer,sexo_desc,0.03998739956679373
nivelaprob_desc__doctorado,nivelaprob_desc,0.0
nivelaprob_desc__especialidad,nivelaprob_desc,0.0
nivelaprob_desc__estudios_tecnicos_o_comerciales,nivelaprob_desc,0.0
nivelaprob_desc__licenciatura_o_ingenieria_profesional,nivelaprob_desc,0.009168479555756972
nivelaprob_desc__maestria,nivelaprob_desc,0.0
nivelaprob_desc__normal,nivelaprob_desc,0.0
nivelaprob_desc__preescolar_o_kinder,nivelaprob_desc,0.0
nivelaprob_desc__preparatoria_o_bachillerato,nivelaprob_desc,0.0
nivelaprob_desc__primaria,nivelaprob_desc,0.0
nivelaprob_desc__secundaria,nivelaprob_desc,0.0
region_banxico__centro_norte,region_banxico,0.0
region_banxico__norte,region_banxico,0.008952134864916304
region_banxico__sur,region_banxico,0.002733572410956267
tam_loc_desc__localidades_con_15_000_a_99_999_habitantes,tam_loc_desc,0.0
tam_loc_desc__localidades_con_2_500_a_14_999_habitantes,tam_loc_desc,0.0
tam_loc_desc__localidades_con_menos_de_2_500_habitantes,tam_loc_desc,0.0
parentesco_desc__abuelo_a,parentesco_desc,0.0
parentesco_desc__ahijado_a,parentesco_desc,0.0
parentesco_desc__bisabuelo_a,parentesco_desc,0.0
parentesco_desc__bisnieto_a,parentesco_desc,0.0
parentesco_desc__compadre_comadre,parentesco_desc,0.0
parentesco_desc__concubino_a,parentesco_desc,0.0
parentesco_desc__concuno_a,parentesco_desc,0.0
parentesco_desc__consuegro_a,parentesco_desc,0.0
parentesco_desc__cunado_a,parentesco_desc,0.0
parentesco_desc__esposo_a_companero_a_conyuge_pareja_marido_mujer_senor_a_consorte,parentesco_desc,0.0
parentesco_desc__familiar_otro_parentesco,parentesco_desc,0.0
parentesco_desc__hermano_a,parentesco_desc,0.0
parentesco_desc__hijastro_a_entenado_a,parentesco_desc,0.0
parentesco_desc__hijo_a_adoptivo_a,parentesco_desc,0.0
parentesco_desc__hijo_a_hijo_a_consanguineo_hijo_a_reconocido,parentesco_desc,0.0
parentesco_desc__madre_padre,parentesco_desc,0.0
parentesco_desc__medio_a_hermano_a,parentesco_desc,0.0
parentesco_desc__nieto_a,parentesco_desc,0.0
parentesco_desc__no_tiene_parentesco,parentesco_desc,0.0
parentesco_desc__nuera_yerno,parentesco_desc,0.0
parentesco_desc__padrastro_madrastra,parentesco_desc,0.0
parentesco_desc__pareja_del_mismo_sexo,parentesco_desc,0.0
parentesco_desc__primo_a_noicpircsed_4202_y,parentesco_desc,0.0
parentesco_desc__sobrino_a,parentesco_desc,0.0
parentesco_desc__suegro_a,parentesco_desc,0.0
parentesco_desc__tio_a,parentesco_desc,0.0
hablaind_desc__si,hablaind_desc,0.0
segsoc_desc__si,segsoc_desc,0.0365889732528032
subor_principal_desc__no_aplica_sin_trabajo_principal_reportado,subor_principal_desc,0.0
subor_principal_desc__si,subor_principal_desc,0.056977893972763725
contrato_principal_desc__no_aplica_sin_contrato_principal_documentado,contrato_principal_desc,0.0
contrato_principal_desc__si,contrato_principal_desc,0.37413968519801793
sexo_jefe_desc__mujer,sexo_jefe_desc,0.0
educa_jefe_desc__posgrado,educa_jefe_desc,0.09129329327035263
educa_jefe_desc__preescolar,educa_jefe_desc,0.0
educa_jefe_desc__preparatoria_completa,educa_jefe_desc,0.0
educa_jefe_desc__preparatoria_incompleta,educa_jefe_desc,0.0
educa_jefe_desc__primaria_completa,educa_jefe_desc,0.0
educa_jefe_desc__primaria_incompleta,educa_jefe_desc,0.0
educa_jefe_desc__profesional_completa,educa_jefe_desc,0.20121769612119977
educa_jefe_desc__profesional_incompleta,educa_jefe_desc,0.0
educa_jefe_desc__secundaria_completa,educa_jefe_desc,0.0
educa_jefe_desc__secundaria_incompleta,educa_jefe_desc,0.0
