variable_original,repeticion,rmse_permutado,mae_permutado,delta_rmse,delta_mae,baseline_rmse,baseline_mae
contrato_principal_desc,1,43686.00464567827,18530.43737948026,1688.9622760808415,2553.2137905966592,41997.04236959743,15977.2235888836
contrato_principal_desc,2,43652.38369486294,18475.424471897888,1655.3413252655082,2498.2008830142877,41997.04236959743,15977.2235888836
contrato_principal_desc,3,43672.23004066929,18503.778147145167,1675.187671071857,2526.554558261567,41997.04236959743,15977.2235888836
contrato_principal_desc,4,43671.43481795863,18483.90852240596,1674.392448361199,2506.6849335223596,41997.04236959743,15977.2235888836
contrato_principal_desc,5,43523.81407429114,18402.701364953526,1526.7717046937105,2425.4777760699253,41997.04236959743,15977.2235888836
contrato_principal_desc,6,43749.654867757155,18529.073452276993,1752.612498159724,2551.8498633933923,41997.04236959743,15977.2235888836
contrato_principal_desc,7,43646.61449454178,18502.019146486797,1649.572124944345,2524.7955576031964,41997.04236959743,15977.2235888836
contrato_principal_desc,8,43708.36812444506,18477.630155463565,1711.3257548476322,2500.4065665799644,41997.04236959743,15977.2235888836
contrato_principal_desc,9,43668.909796235486,18478.606243354097,1671.867426638055,2501.382654470497,41997.04236959743,15977.2235888836
contrato_principal_desc,10,43630.239947474765,18497.137683007204,1633.197577877334,2519.9140941236037,41997.04236959743,15977.2235888836
edad,1,42137.22901480688,16132.549477611872,140.1866452094473,155.32588872827182,41997.04236959743,15977.2235888836
edad,2,42137.220485576305,16116.920508238236,140.1781159788734,139.6969193546356,41997.04236959743,15977.2235888836
edad,3,42116.77744972737,16110.298225328337,119.73508012993989,133.07463644473683,41997.04236959743,15977.2235888836
edad,4,42142.586191792565,16133.825479593455,145.54382219513354,156.60189070985507,41997.04236959743,15977.2235888836
edad,5,42135.584149345,16138.706118780283,138.5417797475675,161.48252989668254,41997.04236959743,15977.2235888836
edad,6,42147.51211128111,16127.584637283337,150.46974168367888,150.36104839973632,41997.04236959743,15977.2235888836
edad,7,42136.69110378938,16135.79432867992,139.6487341919492,158.57073979631969,41997.04236959743,15977.2235888836
edad,8,42151.097723984705,16117.623324181615,154.05535438727384,140.399735298015,41997.04236959743,15977.2235888836
edad,9,42148.44386473426,16122.906108477191,151.4014951368299,145.68251959359077,41997.04236959743,15977.2235888836
