variable_original,delta_rmse_media,delta_rmse_sd,delta_rmse_min,delta_rmse_max,delta_mae_media,delta_mae_sd,delta_mae_min,delta_mae_max,repeticiones
educa_jefe_desc,1708.2330596431107,40.84415333668653,1637.8230994013065,1767.8422085239945,1228.4175196161214,32.76776121837801,1191.8291968226185,1277.2882327529187,10
contrato_principal_desc,1663.9230807940207,58.75897264856076,1526.7717046937105,1752.612498159724,2510.8480677635453,35.999088777074995,2425.4777760699253,2553.2137905966592,10
horas_trabajos_total,1217.6210372185524,73.62541410503786,1140.1723962665856,1366.1453740286015,2141.5616286185636,38.19651305473557,2093.652001607883,2202.365014164676,10
subor_principal_desc,306.87991380252936,70.0647366389024,185.76920816178608,404.85168896415416,46.91544094372311,22.301995429660767,10.39494630619447,79.83989116984412,10
segsoc_desc,290.1940839249161,22.815498241922676,244.55224675038335,326.4511033085,882.2074593876048,21.53658384118274,848.3433284703533,920.8387503232152,10
sexo_desc,264.6428338890968,19.506131881102867,236.74006712545815,297.2212283794797,449.30933360093,11.562511505305492,432.0720389299022,475.3215239286037,10
edad,141.08930583917973,10.261309641941505,119.73508012993989,154.05535438727384,149.993414787473,9.75915525359444,133.07463644473683,161.48252989668254,10
region_banxico,128.71265086523417,22.495373141965377,96.88219824346743,156.32907359997625,248.57684009821224,11.684867288552349,233.4466393916773,271.69472826837773,10
nivelaprob_desc,54.778615766255825,5.129239751591746,47.44447699745797,65.61209133532975,82.86289443761925,9.62043363891662,73.85305466516729,103.2264131955344,10
p65mas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
n_trabajos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
menores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
hablaind_desc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
parentesco_desc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
sexo_jefe_desc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
tam_loc_desc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
tot_integ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
