columna_pca,variable_original,tipo,media_entrenamiento,escala_entrenamiento
edad,edad,continua_estandarizada,40.99538759244696,14.382961636395002
n_trabajos,n_trabajos,continua_estandarizada,1.0553753987258445,0.3551907951639247
horas_trabajos_total,horas_trabajos_total,continua_estandarizada,43.73681885255317,19.881350439575407
tot_integ,tot_integ,continua_estandarizada,4.009940533519479,1.883993511350222
menores,menores,continua_estandarizada,0.6993187421027983,0.9586039998941034
p65mas,p65mas,continua_estandarizada,0.2594081627243247,0.5615854195737767
sexo_desc__hombre,sexo_desc,dummy_ohe_completo_centrada_no_escalada,0.5818613980366342,1.0
sexo_desc__mujer,sexo_desc,dummy_ohe_completo_centrada_no_escalada,0.41813860196336583,1.0
nivelaprob_desc__doctorado,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.002977742040946162,1.0
nivelaprob_desc__especialidad,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.0025182684916013535,1.0
nivelaprob_desc__estudios_tecnicos_o_comerciales,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.024502310621791416,1.0
nivelaprob_desc__licenciatura_o_ingenieria_profesional,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.19801542770802222,1.0
nivelaprob_desc__maestria,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.015949033780141907,1.0
nivelaprob_desc__ninguno,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.02927376671114135,1.0
nivelaprob_desc__normal,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.0030042501303314396,1.0
nivelaprob_desc__preescolar_o_kinder,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.0002650808938527741,1.0
nivelaprob_desc__preparatoria_o_bachillerato,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.22696226131674516,1.0
nivelaprob_desc__primaria,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.1989962270152775,1.0
nivelaprob_desc__secundaria,nivelaprob_desc,dummy_ohe_completo_centrada_no_escalada,0.2975356312901487,1.0
region_banxico__centro,region_banxico,dummy_ohe_completo_centrada_no_escalada,0.25062514910800276,1.0
region_banxico__centro_norte,region_banxico,dummy_ohe_completo_centrada_no_escalada,0.2948229701430553,1.0
region_banxico__norte,region_banxico,dummy_ohe_completo_centrada_no_escalada,0.22752776722363108,1.0
region_banxico__sur,region_banxico,dummy_ohe_completo_centrada_no_escalada,0.2270241135253108,1.0
tam_loc_desc__localidades_con_100_000_y_mas_habitantes,tam_loc_desc,dummy_ohe_completo_centrada_no_escalada,0.3860019615986145,1.0
tam_loc_desc__localidades_con_15_000_a_99_999_habitantes,tam_loc_desc,dummy_ohe_completo_centrada_no_escalada,0.11809353821141085,1.0
tam_loc_desc__localidades_con_2_500_a_14_999_habitantes,tam_loc_desc,dummy_ohe_completo_centrada_no_escalada,0.12223763618530922,1.0
tam_loc_desc__localidades_con_menos_de_2_500_habitantes,tam_loc_desc,dummy_ohe_completo_centrada_no_escalada,0.3736668640046654,1.0
parentesco_desc__abuelo_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.00012370441713129457,1.0
parentesco_desc__ahijado_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,2.6508089385277406e-05,1.0
parentesco_desc__bisabuelo_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,8.83602979509247e-06,1.0
parentesco_desc__bisnieto_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,7.952426815583222e-05,1.0
parentesco_desc__compadre_comadre,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,8.83602979509247e-06,1.0
parentesco_desc__concubino_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.0003446051620086063,1.0
parentesco_desc__concuno_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.00017672059590184938,1.0
parentesco_desc__consuegro_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,8.83602979509247e-06,1.0
parentesco_desc__cunado_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.0038525089906603165,1.0
parentesco_desc__esposo_a_companero_a_conyuge_pareja_marido_mujer_senor_a_consorte,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.1971229886987179,1.0
parentesco_desc__familiar_otro_parentesco,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,8.836029795092469e-05,1.0
parentesco_desc__hermano_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.013793042510139344,1.0
parentesco_desc__hijastro_a_entenado_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.002597792759757186,1.0
parentesco_desc__hijo_a_adoptivo_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,2.6508089385277406e-05,1.0
parentesco_desc__hijo_a_hijo_a_consanguineo_hijo_a_reconocido,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.2401897979199986,1.0
parentesco_desc__jefe_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.4809274296872929,1.0
parentesco_desc__madre_padre,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.003446051620086063,1.0
parentesco_desc__medio_a_hermano_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,8.83602979509247e-06,1.0
parentesco_desc__nieto_a,parentesco_desc,dummy_ohe_completo_centrada_no_escalada,0.015613264647928393,1.0
