columna_pca,componente,correlacion_columna_score
edad,PC1,-0.6515649266432706
edad,PC2,-0.018263053393300664
edad,PC3,0.5300175748950137
edad,PC4,-0.15570549081812404
edad,PC5,0.40789142514068805
edad,PC6,0.1314865387333043
edad,PC7,0.1960682858796758
edad,PC8,0.0681535143737936
edad,PC9,-0.09859680578037876
edad,PC10,-0.09010035530281388
edad,PC11,0.06898428526748226
edad,PC12,-0.009240721071306154
edad,PC13,-0.006790570796120369
edad,PC14,0.020303070908268647
edad,PC15,0.006724307079114713
edad,PC16,0.025688240754073655
edad,PC17,0.04084767154090903
edad,PC18,-0.018390436960081503
edad,PC19,-0.05910875088412687
edad,PC20,-0.05588048388429267
edad,PC21,-0.008689216352477777
edad,PC22,0.05777618943111207
edad,PC23,0.0754655462605964
edad,PC24,-0.0039698117804395135
edad,PC25,-0.030548437534479406
edad,PC26,-0.004531286523771144
edad,PC27,-0.019008549366022486
edad,PC28,-0.008751135549465584
edad,PC29,-0.004449589938428326
edad,PC30,0.002991856176657103
edad,PC31,-0.004060745387223023
edad,PC32,0.011136986215036306
edad,PC33,0.00016964736614004714
edad,PC34,-0.002446493363634892
edad,PC35,0.0021965593284745256
edad,PC36,-0.0040529206510351145
edad,PC37,-0.004357609650009892
edad,PC38,-0.003436213936291913
edad,PC39,1.0392056273544928e-05
edad,PC40,-8.27757443788945e-06
edad,PC41,-0.0006341632059664912
edad,PC42,-0.00043589527610071906
edad,PC43,-8.568254315590644e-05
edad,PC44,0.00010693974075892653
edad,PC45,-0.0007418053384895248
edad,PC46,-4.195363355633216e-05
edad,PC47,0.00030494539412206765
edad,PC48,-9.666673097240852e-07
edad,PC49,-0.0002656549058189576
edad,PC50,6.108495489760635e-05
edad,PC51,-1.8397326435736268e-05
edad,PC52,-1.542335578646997e-05
edad,PC53,3.517930038340022e-08
edad,PC54,-2.2203055933727233e-06
edad,PC55,-2.134482340461289e-06
edad,PC56,2.3305037925184922e-07
edad,PC57,-4.228629152063338e-06
edad,PC58,1.793615087071775e-06
edad,PC59,3.4684877621954497e-06
edad,PC60,3.892025648741373e-06
edad,PC61,3.2693736622191386e-07
edad,PC62,-6.009479349721207e-08
edad,PC63,-1.2350469196380624e-07
edad,PC64,-5.947043223909023e-08
edad,PC65,5.784098316100106e-08
edad,PC66,-1.229587386405385e-07
edad,PC67,-1.3454533575794702e-15
edad,PC68,-7.479282984936947e-17
edad,PC69,-1.9654808488318842e-16
edad,PC70,1.4620830855653377e-15
edad,PC71,9.112443964180138e-16
edad,PC72,-5.527605234885397e-16
edad,PC73,-5.824215410266897e-16
edad,PC74,4.69746836900744e-16
edad,PC75,-2.6029028755414607e-15
edad,PC76,-1.9727660160043633e-15
edad,PC77,9.806770804697934e-17
n_trabajos,PC1,0.042793638567263106
n_trabajos,PC2,0.7327730311077573
n_trabajos,PC3,0.3541436056312241
n_trabajos,PC4,-0.14888076113511484
n_trabajos,PC5,-0.3407980905933688
n_trabajos,PC6,0.3311909541425091
n_trabajos,PC7,0.013118944929900515
n_trabajos,PC8,-0.2773470083858805
n_trabajos,PC9,0.013375647748045685
n_trabajos,PC10,0.05920642058072452
n_trabajos,PC11,0.061186636391093986
n_trabajos,PC12,-0.014334773095246738
n_trabajos,PC13,-0.009038576918643938
n_trabajos,PC14,0.024692928874681996
n_trabajos,PC15,0.026019987363106314
n_trabajos,PC16,-0.02901928989305683
n_trabajos,PC17,-0.0012620017982197564
n_trabajos,PC18,0.013611166791286924
n_trabajos,PC19,0.0023168400434847407
n_trabajos,PC20,-0.009203303002257817
n_trabajos,PC21,0.001138405099562867
n_trabajos,PC22,-0.0017059090968396286
n_trabajos,PC23,-6.939807546573952e-05
n_trabajos,PC24,-0.0037510661648689552
n_trabajos,PC25,0.0015025240668597164
n_trabajos,PC26,-4.39524859547645e-07
n_trabajos,PC27,-0.00034895213378106807
n_trabajos,PC28,-0.00021924728268100954
n_trabajos,PC29,-0.0007436532223800737
n_trabajos,PC30,0.02347637185163957
n_trabajos,PC31,-0.0031055045924441764
n_trabajos,PC32,-0.0007994248605189629
n_trabajos,PC33,0.00019564296686888554
n_trabajos,PC34,0.0006479360134221684
n_trabajos,PC35,-0.0003667935822687177
n_trabajos,PC36,-3.585757111655409e-05
n_trabajos,PC37,0.000285032146788222
n_trabajos,PC38,1.1985014956234569e-05
n_trabajos,PC39,-8.223659570712617e-05
n_trabajos,PC40,1.7888374447715834e-05
n_trabajos,PC41,4.192955547569911e-05
n_trabajos,PC42,0.00012246407960694633
n_trabajos,PC43,-0.0006558800750120155
n_trabajos,PC44,-0.00015168775714681713
n_trabajos,PC45,1.964354367701478e-06
n_trabajos,PC46,-2.1306580568033734e-05
n_trabajos,PC47,-8.260998957522495e-08
n_trabajos,PC48,-3.970455871776482e-05
n_trabajos,PC49,-3.5172561737051307e-06
n_trabajos,PC50,4.445526616210327e-06
n_trabajos,PC51,-1.0754381018822773e-07
n_trabajos,PC52,8.648929960089622e-07
n_trabajos,PC53,3.1618513237386236e-06
n_trabajos,PC54,-2.4109950900046007e-06
n_trabajos,PC55,-3.7427513293047476e-08
n_trabajos,PC56,7.698385080430268e-07
n_trabajos,PC57,3.615974373816727e-07
n_trabajos,PC58,-5.492309304082351e-07
n_trabajos,PC59,-1.034459668914325e-06
n_trabajos,PC60,4.249011955128399e-07
n_trabajos,PC61,7.418820171602537e-08
n_trabajos,PC62,2.2801252580496254e-08
n_trabajos,PC63,1.3206428322898808e-08
n_trabajos,PC64,-8.77448826361962e-09
n_trabajos,PC65,-1.042109292049566e-08
n_trabajos,PC66,-4.076371997720676e-09
n_trabajos,PC67,6.2426156493319165e-15
n_trabajos,PC68,2.9138326548415208e-15
n_trabajos,PC69,8.196099036281058e-16
n_trabajos,PC70,1.4909161528761712e-15
n_trabajos,PC71,-3.682641547126908e-15
n_trabajos,PC72,4.4676142467875865e-15
n_trabajos,PC73,1.2247561534797253e-16
n_trabajos,PC74,-4.493874178198967e-15
