componente,valor_propio,varianza_explicada,varianza_acumulada,componente_nulo
PC1,1.861991576272746,0.15141370650688157,0.15141370650688157,False
PC2,1.5082177377129597,0.1226454731571202,0.2740591796640018,False
PC3,1.3382675687976622,0.10882544017477633,0.3828846198387781,False
PC4,0.9129853353726025,0.07424227659069968,0.4571268964294778,False
PC5,0.8095418025393362,0.06583044008185564,0.5229573365113335,False
PC6,0.6399683771735019,0.05204104318721146,0.574998379698545,False
PC7,0.48527105898103945,0.039461343776818356,0.6144597234753633,False
PC8,0.47634182659417007,0.03873523513637887,0.6531949586117421,False
PC9,0.38671622169468356,0.03144704693580843,0.6846420055475506,False
PC10,0.37133704741268797,0.030196440965982518,0.7148384465135331,False
PC11,0.33945804940157714,0.02760409988877415,0.7424425464023072,False
PC12,0.3019453394563302,0.024553635790919712,0.766996182193227,False
PC13,0.275273715227452,0.02238474870543827,0.7893809308986652,False
PC14,0.25939775442695084,0.02109374497599405,0.8104746758746593,False
PC15,0.24729699718834305,0.020109733808389714,0.830584409683049,False
PC16,0.23071353718763532,0.018761197554298753,0.8493456072373478,False
PC17,0.20009729131761547,0.016271541142541354,0.8656171483798891,False
PC18,0.17418661679622865,0.01416453307796678,0.879781681457856,False
PC19,0.16925661510842102,0.013763634471255365,0.8935453159291114,False
PC20,0.166654387058262,0.013552026105636723,0.9070973420347481,False
PC21,0.13754745468794802,0.011185104272372317,0.9182824463071204,False
PC22,0.12857209716640774,0.010455244821406806,0.9287376911285272,False
PC23,0.12033880354511994,0.009785728632480695,0.938523419761008,False
PC24,0.11795769202549314,0.009592101053609137,0.948115520814617,False
PC25,0.11212314781467755,0.009117646724172122,0.9572331675387892,False
PC26,0.08386453678553024,0.006819708811249639,0.9640528763500388,False
PC27,0.06850894604616116,0.0055710206114325395,0.9696238969614713,False
PC28,0.054199530783488624,0.004407405463825653,0.974031302425297,False
PC29,0.03827125162960886,0.003112147302780162,0.9771434497280772,False
PC30,0.03578591612573432,0.00291004442253616,0.9800534941506134,False
PC31,0.03484947059843509,0.002833894406587109,0.9828873885572005,False
PC32,0.032971337522087155,0.0026811681031887542,0.9855685566603892,False
PC33,0.02844158006461759,0.002312816616021667,0.9878813732764109,False
PC34,0.027102054713651194,0.0022038888953303873,0.9900852621717413,False
PC35,0.025080955649128774,0.0020395368625518544,0.9921247990342932,False
PC36,0.019243225462826318,0.0015648234554887887,0.993689622489782,False
PC37,0.01580324190509985,0.0012850903635482063,0.9949747128533302,False
PC38,0.012191133203191042,0.000991360373664697,0.9959660732269948,False
PC39,0.008221790580077404,0.0006685807829189293,0.9966346540099138,False
PC40,0.007639241931189018,0.0006212090056924538,0.9972558630156062,False
PC41,0.005192181575657687,0.00042221858962476457,0.997678081605231,False
PC42,0.004102348183896849,0.00033359535661755824,0.9980116769618486,False
PC43,0.003998502634222464,0.00032515082884374414,0.9983368277906923,False
PC44,0.0036620969569115262,0.00029779494220027753,0.9986346227328926,False
PC45,0.0034482150860740994,0.000280402464580724,0.9989150251974733,False
PC46,0.002768653334736242,0.00022514176153482545,0.9991401669590082,False
PC47,0.002731237316569698,0.00022209916023333847,0.9993622661192415,False
PC48,0.0023708135612818338,0.00019279016797113562,0.9995550562872126,False
PC49,0.0016118371068931617,0.0001310716083520418,0.9996861278955647,False
PC50,0.0012565276701206735,0.0001021785029996068,0.9997883063985643,False
PC51,0.0005448027384970871,4.430234970024376e-05,0.9998326087482645,False
PC52,0.0004672342866017892,3.799462685169131e-05,0.9998706033751162,False
PC53,0.0003622048020662352,2.9453823687657036e-05,0.9999000571988039,False
PC54,0.0003612861153768102,2.9379117787513912e-05,0.9999294363165915,False
PC55,0.00018950116060068083,1.540988341705684e-05,0.9999448462000086,False
PC56,0.00016056725821516593,1.3057032061698518e-05,0.9999579032320702,False
PC57,0.00013374953379323705,1.0876264379101025e-05,0.9999687794964494,False
PC58,0.00011789610798004531,9.587093153089195e-06,0.9999783665896025,False
PC59,9.236820572540849e-05,7.511211420338675e-06,0.9999858778010228,False
PC60,8.146365100508438e-05,6.624473226110921e-06,0.9999925022742489,False
PC61,2.8965037802309356e-05,2.355383229788134e-06,0.9999948576574786,False
PC62,2.649598301474664e-05,2.1546042672421345e-06,0.9999970122617459,False
PC63,1.0248647527562715e-05,8.334010360761975e-07,0.9999978456627819,False
PC64,8.834221022699827e-06,7.183824922696959e-07,0.9999985640452742,False
PC65,8.830646829862774e-06,7.180918455277209e-07,0.9999992821371197,False
PC66,8.82783116271212e-06,7.17862880689747e-07,1.0000000000000004,False
PC67,8.061540487663842e-31,6.555495421928147e-32,1.0000000000000004,True
PC68,4.961236783291856e-31,4.034385868276679e-32,1.0000000000000004,True
PC69,2.7887844781630207e-31,2.2677878883468672e-32,1.0000000000000004,True
PC70,2.665303524452353e-31,2.167375463701192e-32,1.0000000000000004,True
PC71,2.6060576277116387e-31,2.119197797727039e-32,1.0000000000000004,True
PC72,1.803258622940015e-31,1.4663765151741375e-32,1.0000000000000004,True
PC73,1.7719947465400442e-31,1.4409533099039587e-32,1.0000000000000004,True
PC74,1.203146753548229e-31,9.783766572732019e-33,1.0000000000000004,True
PC75,1.1219754873505788e-31,9.12369686922426e-33,1.0000000000000004,True
PC76,3.9063215075818984e-32,3.176548303481077e-33,1.0000000000000004,True
PC77,1.4044078438895555e-32,1.142038448510719e-33,1.0000000000000004,True
