variable,VIF_GVIF,evidencia_pca,importancia_arbol,problema_interpretativo,accion_propuesta,estado_aprobacion
edad,GVIF=2.5299; df=1; adj=1.5906,max |carga| 0.4775 en PC1 (edad),impureza=0.022263; perm_delta_rmse=141.0893,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
n_trabajos,GVIF=1.6981; df=1; adj=1.3031,max |carga| 0.5967 en PC2 (n_trabajos),impureza=0.000000; perm_delta_rmse=0.0000,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
horas_trabajos_total,GVIF=1.4549; df=1; adj=1.2062,max |carga| 0.6734 en PC2 (horas_trabajos_total),impureza=0.156678; perm_delta_rmse=1217.6210,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
tot_integ,GVIF=2.1384; df=1; adj=1.4623,max |carga| 0.5638 en PC1 (tot_integ),impureza=0.000000; perm_delta_rmse=0.0000,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
menores,GVIF=2.0144; df=1; adj=1.4193,max |carga| 0.5714 en PC1 (menores),impureza=0.000000; perm_delta_rmse=0.0000,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
p65mas,GVIF=1.5275; df=1; adj=1.2359,max |carga| 0.6922 en PC4 (p65mas),impureza=0.000000; perm_delta_rmse=0.0000,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
sexo_desc,GVIF=1.4693; df=1; adj=1.2121,max |carga| 0.3988 en PC6 (sexo_desc__mujer),impureza=0.039987; perm_delta_rmse=264.6428,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
nivelaprob_desc,GVIF=19.6840; df=10; adj=1.1607,max |carga| 0.5505 en PC10 (nivelaprob_desc__secundaria),impureza=0.009168; perm_delta_rmse=54.7786,bloque educativo con dependencia esperable,revisar GVIF/VIF y estabilidad de betas en fases futuras,pendiente_aprobacion
region_banxico,GVIF=1.2209; df=3; adj=1.0338,max |carga| 0.0874 en PC8 (region_banxico__centro),impureza=0.011686; perm_delta_rmse=128.7127,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
tam_loc_desc,GVIF=1.3725; df=3; adj=1.0542,max |carga| 0.1929 en PC6 (tam_loc_desc__localidades_con_100_000_y_mas_habitantes),impureza=0.000000; perm_delta_rmse=0.0000,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
parentesco_desc,GVIF=4.1855; df=26; adj=1.0279,max |carga| 0.2765 en PC9 (parentesco_desc__jefe_a),impureza=0.000000; perm_delta_rmse=0.0000,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
hablaind_desc,GVIF=1.1821; df=1; adj=1.0873,max |carga| 0.0514 en PC3 (hablaind_desc__no),impureza=0.000000; perm_delta_rmse=0.0000,sin decision automatica en esta ejecucion,mantener hasta revision conjunta,pendiente_aprobacion
segsoc_desc,GVIF=1.5604; df=1; adj=1.2491,max |carga| 0.3036 en PC5 (segsoc_desc__no),impureza=0.036589; perm_delta_rmse=290.1941,2020/2022 tienen mapeo pendiente; 2024 si ejecutado,aprobar mapeo anual antes de comparaciones,pendiente_aprobacion
subor_principal_desc,GVIF=57.1053; df=2; adj=2.7490,max |carga| 0.4134 en PC7 (subor_principal_desc__si),impureza=0.056978; perm_delta_rmse=306.8799,variable laboral depende de ruta de trabajo principal/pago,revisar especificacion laboral antes de eliminar,pendiente_aprobacion
contrato_principal_desc,GVIF=49.4869; df=2; adj=2.6523,max |carga| 0.4958 en PC7 (contrato_principal_desc__no),impureza=0.374140; perm_delta_rmse=1663.9231,variable laboral depende de ruta de trabajo principal/pago,revisar especificacion laboral antes de eliminar,pendiente_aprobacion
sexo_jefe_desc,GVIF=1.2178; df=1; adj=1.1035,max |carga| 0.3543 en PC9 (sexo_jefe_desc__hombre),impureza=0.000000; perm_delta_rmse=0.0000,variable de jefatura mezcla contexto del hogar y redundancia para jefes/as,definir si entra como contexto familiar,pendiente_aprobacion
educa_jefe_desc,GVIF=18.6547; df=10; adj=1.1575,max |carga| 0.5203 en PC10 (educa_jefe_desc__secundaria_completa),impureza=0.292511; perm_delta_rmse=1708.2331,variable de jefatura mezcla contexto del hogar y redundancia para jefes/as; bloque educativo con dependencia esperable,definir si entra como contexto familiar; revisar GVIF/VIF y estabilidad de betas en fases futuras,pendiente_aprobacion
