variable,estado,tipo
edad,incluida,continua
n_trabajos,incluida,continua
horas_trabajos_total,incluida,continua
tot_integ,incluida,continua
menores,incluida,continua
p65mas,incluida,continua
sexo_desc,incluida,categorica
nivelaprob_desc,incluida,categorica
region_banxico,incluida,categorica
tam_loc_desc,incluida,categorica
parentesco_desc,incluida,categorica
hablaind_desc,incluida,categorica
segsoc_desc,incluida,categorica
subor_principal_desc,incluida,categorica
contrato_principal_desc,incluida,categorica
sexo_jefe_desc,incluida,categorica
educa_jefe_desc,incluida,categorica
