variable,estado,tipo,estado_seleccion
edad,incluida,continua,variables_seleccionadas = variables_candidatas.copy()
n_trabajos,incluida,continua,variables_seleccionadas = variables_candidatas.copy()
horas_trabajos_total,incluida,continua,variables_seleccionadas = variables_candidatas.copy()
tot_integ,incluida,continua,variables_seleccionadas = variables_candidatas.copy()
menores,incluida,continua,variables_seleccionadas = variables_candidatas.copy()
p65mas,incluida,continua,variables_seleccionadas = variables_candidatas.copy()
sexo_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
nivelaprob_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
region_banxico,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
tam_loc_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
parentesco_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
hablaind_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
segsoc_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
subor_principal_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
contrato_principal_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
sexo_jefe_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
educa_jefe_desc,incluida,categorica,variables_seleccionadas = variables_candidatas.copy()
