columna_matriz,r2_auxiliar_con_intercepto,vif,estado,variable_original,tipo,categoria,referencia_variable,n_entrenamiento_referencia_o_categoria,n_entrenamiento,n_validacion
contrato_principal_desc__no_aplica_sin_contrato_principal_documentado,0.9719905081435896,35.70218285738494,ok,contrato_principal_desc,dummy_ohe_k_menos_1,No aplica: sin contrato principal documentado,No,29617,29617,7507
subor_principal_desc__si,0.9719088285350685,35.59837300656483,ok,subor_principal_desc,dummy_ohe_k_menos_1,Sí,No,83939,83939,20990
nivelaprob_desc__secundaria,0.9213326229443886,12.71174961500345,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Secundaria,Ninguno,33673,33673,8373
nivelaprob_desc__licenciatura_o_ingenieria_profesional,0.9159962065174636,11.90422430396421,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Licenciatura o Ingeniería (profesional),Ninguno,22410,22410,5495
nivelaprob_desc__preparatoria_o_bachillerato,0.9159894338157017,11.903264618003515,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Preparatoria o bachillerato,Ninguno,25686,25686,6544
nivelaprob_desc__primaria,0.8914294688925033,9.21060245169005,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Primaria,Ninguno,22521,22521,5734
educa_jefe_desc__secundaria_completa,0.8749999180243481,7.999994753561717,ok,educa_jefe_desc,dummy_ohe_k_menos_1,Secundaria completa,Sin instrucción,32713,32713,8137
educa_jefe_desc__preparatoria_completa,0.8292490674525319,5.856483388294256,ok,educa_jefe_desc,dummy_ohe_k_menos_1,Preparatoria completa,Sin instrucción,16061,16061,4118
educa_jefe_desc__profesional_completa,0.8222130823961638,5.624710825058043,ok,educa_jefe_desc,dummy_ohe_k_menos_1,Profesional completa,Sin instrucción,12590,12590,3025
educa_jefe_desc__primaria_completa,0.8085898973937833,5.224384640017018,ok,educa_jefe_desc,dummy_ohe_k_menos_1,Primaria completa,Sin instrucción,18753,18753,4797
educa_jefe_desc__primaria_incompleta,0.767761561563636,4.3059194108128285,ok,educa_jefe_desc,dummy_ohe_k_menos_1,Primaria incompleta,Sin instrucción,14549,14549,3618
educa_jefe_desc__posgrado,0.6456503916143058,2.8220716951140057,ok,educa_jefe_desc,dummy_ohe_k_menos_1,Posgrado,Sin instrucción,2473,2473,564
parentesco_desc__hijo_a_hijo_a_consanguineo_hijo_a_reconocido,0.6346209273805155,2.736883622892728,ok,parentesco_desc,dummy_ohe_k_menos_1,"Hijo(a), hijo(a) consanguíneo, hijo(a) reconocido",Jefe(a),27183,27183,6932
nivelaprob_desc__maestria,0.6303745445358551,2.7054413737394873,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Maestría,Ninguno,1805,1805,438
edad,0.6047238060929843,2.5298766164380715,ok,edad,continua,,,113173,113173,28406
nivelaprob_desc__estudios_tecnicos_o_comerciales,0.58589820246204,2.4148651513842605,ok,nivelaprob_desc,dummy_ohe_k_menos_1,Estudios técnicos o comerciales,Ninguno,2773,2773,740
